Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
267,Cam Reddish,23,POR,SF,20,12,552,6.9,15.5,0.443,2.5,7.8,0.318,4.4,7.8,0.568,0.523,3.1,3.7,0.833,1.0,4.1,5.0,3.3,2.1,0.5,2.8,3.5,19.3,105.0,119,,reddica01,10.6,0.563,0.5,0.239,2.3,9.6,5.9,9.6,2.1,1.0,14.1,17.8,0.0,0.3,0.3,0.025,-3.0,-1.4,-4.3,-0.3
268,Jock Landale,27,PHO,C,69,4,979,8.9,16.8,0.528,1.0,4.2,0.25,7.8,12.6,0.621,0.559,3.9,5.2,0.752,5.9,8.0,14.0,3.4,0.8,1.5,2.9,6.3,22.8,119.0,113,,landajo01,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2
269,Nassir Little,22,POR,SF,54,4,976,6.7,15.1,0.442,2.9,7.9,0.367,3.8,7.2,0.524,0.538,1.6,2.3,0.717,1.3,5.7,7.0,2.5,1.0,1.0,1.8,3.3,17.9,108.0,120,,littlna01,10.2,0.555,0.521,0.152,3.2,13.5,8.3,7.3,1.0,1.8,10.0,16.0,0.2,0.4,0.7,0.032,-1.6,-1.4,-3.0,-0.3
270,Usman Garuba,20,HOU,C,75,1,970,4.3,8.8,0.486,1.2,2.9,0.407,3.1,5.9,0.525,0.554,1.4,2.3,0.617,6.0,9.3,15.3,3.2,2.2,1.4,2.3,6.7,11.2,119.0,115,,garubus01,12.9,0.569,0.333,0.266,13.4,21.4,17.4,8.8,2.2,2.9,19.2,10.5,0.9,0.9,1.8,0.091,-2.0,0.6,-1.4,0.2
271,JT Thor,20,CHO,PF,69,8,969,4.7,11.7,0.399,1.9,6.0,0.317,2.8,5.6,0.487,0.481,1.6,2.3,0.702,1.8,5.7,7.5,1.8,1.1,1.1,2.2,3.2,12.9,97.0,117,,thorjt01,7.0,0.506,0.517,0.197,3.9,13.0,8.4,4.9,1.1,2.1,14.5,13.1,-0.6,0.8,0.2,0.009,-4.3,-0.4,-4.7,-0.7
272,Haywood Highsmith,26,MIA,PF,54,11,969,4.8,11.1,0.431,1.9,5.6,0.339,2.9,5.5,0.523,0.516,0.7,1.4,0.464,2.9,6.7,9.7,2.2,1.9,0.9,2.3,4.2,12.1,101.0,112,,highsha01,8.5,0.517,0.505,0.13,6.7,16.4,11.4,6.2,1.9,1.8,16.5,12.5,-0.3,1.3,0.9,0.046,-3.7,0.7,-3.1,-0.3
273,Cameron Payne,28,PHO,PG,48,15,968,9.5,22.9,0.415,3.4,9.3,0.368,6.1,13.5,0.448,0.49,2.5,3.2,0.766,0.6,4.7,5.4,10.8,1.7,0.4,4.1,4.4,24.9,106.0,115,,payneca01,13.2,0.512,0.408,0.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,0.053,-0.5,-0.7,-1.2,0.2
274,Kendrick Nunn,27,2TM,SG,70,2,964,9.5,22.4,0.424,3.9,11.1,0.354,5.6,11.3,0.493,0.512,1.7,2.0,0.854,0.7,4.7,5.4,4.5,1.4,0.3,3.3,3.3,24.7,100.0,117,,nunnke01,11.1,0.53,0.496,0.091,1.8,10.3,6.2,13.8,1.4,0.6,12.4,23.7,-0.6,0.8,0.2,0.008,-2.0,-1.5,-3.5,-0.4
274,Kendrick Nunn,27,LAL,SG,39,2,528,9.2,22.5,0.406,3.7,11.3,0.325,5.5,11.2,0.488,0.488,1.5,1.9,0.81,0.4,4.5,4.9,3.1,1.0,0.3,2.8,3.1,23.5,96.0,117,,nunnke01,8.7,0.503,0.502,0.084,1.0,9.8,5.6,9.3,1.0,0.5,10.6,23.3,-0.6,0.4,-0.2,-0.021,-3.4,-1.6,-5.0,-0.4
274,Kendrick Nunn,27,WAS,SG,31,0,436,9.9,22.2,0.447,4.2,10.8,0.392,5.7,11.4,0.5,0.543,2.0,2.2,0.9,1.1,4.9,6.0,6.3,1.9,0.4,3.9,3.5,26.1,106.0,117,,nunnke01,14.1,0.563,0.487,0.101,2.7,10.8,6.9,19.2,1.9,0.8,14.4,24.2,0.0,0.4,0.4,0.043,-0.4,-1.3,-1.6,0.0
275,Karl-Anthony Towns,27,MIN,PF,29,29,957,10.5,21.2,0.495,3.0,8.1,0.366,7.5,13.1,0.576,0.565,5.9,6.7,0.874,2.4,9.3,11.7,6.9,1.0,0.8,4.3,5.5,29.9,117.0,114,,townska01,18.8,0.618,0.383,0.315,5.7,21.6,13.8,22.0,1.0,1.5,15.0,25.6,1.5,1.1,2.7,0.133,2.1,0.9,3.0,1.2
276,Zion Williamson,22,NOP,PF,29,29,956,14.4,23.8,0.608,0.4,1.0,0.368,14.1,22.8,0.618,0.615,9.0,12.6,0.714,2.9,7.3,10.2,6.7,1.6,0.8,5.0,3.3,38.2,120.0,112,AS,willizi01,25.2,0.652,0.041,0.529,6.9,17.0,12.0,24.4,1.6,1.6,14.6,30.4,2.3,1.2,3.6,0.18,4.8,1.0,5.8,1.9
277,Kevin Knox,23,2TM,SF,63,5,952,7.8,16.9,0.458,3.3,9.5,0.349,4.4,7.4,0.596,0.556,2.3,3.1,0.767,1.7,7.3,9.0,1.7,1.2,0.6,2.6,4.8,21.2,107.0,119,,knoxke01,11.1,0.579,0.56,0.181,3.9,17.3,10.5,5.2,1.2,1.1,12.2,18.4,0.2,0.5,0.7,0.034,-2.1,-1.4,-3.5,-0.4
277,Kevin Knox,23,DET,SF,42,1,593,6.9,14.6,0.469,3.5,9.5,0.371,3.4,5.1,0.651,0.589,2.1,2.7,0.788,1.6,7.2,8.8,1.2,1.1,1.0,2.6,6.0,19.4,109.0,119,,knoxke01,10.3,0.612,0.648,0.184,3.6,17.0,10.1,3.7,1.1,1.8,14.2,16.2,0.2,0.3,0.5,0.043,-2.1,-0.6,-2.8,-0.1
277,Kevin Knox,23,POR,PF,21,4,359,9.2,20.8,0.444,3.0,9.5,0.314,6.2,11.3,0.554,0.516,2.7,3.7,0.741,1.9,7.5,9.4,2.4,1.4,0.0,2.4,2.8,24.1,105.0,120,,knoxke01,12.4,0.54,0.458,0.176,4.4,17.7,11.0,7.7,1.4,0.0,9.8,22.1,0.0,0.2,0.1,0.019,-2.0,-2.7,-4.6,-0.2
278,Cam Thomas,21,BRK,SG,57,4,948,10.4,23.5,0.441,2.6,6.8,0.383,7.7,16.6,0.464,0.497,7.8,9.0,0.868,0.4,4.5,4.9,4.0,1.0,0.4,3.2,2.8,31.1,108.0,118,,thomaca02,14.7,0.567,0.292,0.382,1.0,10.1,5.6,12.7,1.0,0.6,10.6,27.8,0.3,0.7,1.0,0.049,-0.7,-2.0,-2.7,-0.2
279,Mike Muscala,31,2TM,C,63,9,945,6.6,14.8,0.449,4.1,10.5,0.391,2.5,4.3,0.588,0.587,2.0,2.6,0.769,1.9,8.4,10.3,2.5,0.8,1.2,1.2,5.0,19.4,124.0,113,,muscami01,13.0,0.608,0.709,0.178,4.2,19.1,11.6,7.1,0.8,2.3,6.8,15.1,1.4,1.1,2.5,0.128,-0.3,-0.1,-0.4,0.4
279,Mike Muscala,31,OKC,C,43,5,622,6.8,15.5,0.438,4.3,10.8,0.394,2.5,4.7,0.541,0.576,2.4,3.0,0.795,1.8,8.6,10.3,2.9,0.8,1.5,1.1,5.3,20.2,125.0,114,,muscami01,13.8,0.602,0.7,0.192,3.9,19.7,11.6,8.2,0.8,2.8,6.0,15.7,1.0,0.7,1.7,0.134,0.3,-0.1,0.1,0.3
279,Mike Muscala,31,BOS,C,20,4,323,6.3,13.4,0.472,3.8,9.8,0.385,2.6,3.6,0.708,0.612,1.4,2.0,0.692,2.1,8.2,10.3,1.8,0.6,0.8,1.4,4.2,17.8,121.0,113,,muscami01,11.6,0.623,0.73,0.146,4.8,18.0,11.5,5.0,0.6,1.3,8.7,14.0,0.4,0.4,0.8,0.116,-1.5,0.1,-1.4,0.1
280,Maxi Kleber,31,DAL,PF,37,5,930,4.1,9.0,0.456,2.1,6.0,0.348,2.0,3.0,0.667,0.571,1.4,2.0,0.711,1.6,5.6,7.2,2.8,0.6,1.6,1.4,4.5,11.8,117.0,118,,klebima01,8.7,0.592,0.663,0.225,3.7,13.3,8.4,7.5,0.6,2.9,12.7,10.3,0.7,0.6,1.3,0.067,-2.2,0.0,-2.2,0.0
281,Yuta Watanabe,28,BRK,SF,58,1,928,6.0,12.2,0.491,3.2,7.1,0.444,2.8,5.1,0.557,0.621,1.8,2.5,0.723,1.6,5.8,7.4,2.5,1.3,0.9,1.2,4.2,16.9,125.0,116,,watanyu01,12.1,0.637,0.582,0.203,3.7,13.1,8.5,7.0,1.3,1.6,8.0,13.1,1.3,0.9,2.1,0.111,-0.4,-0.2,-0.6,0.3
282,Ish Wainright,28,PHO,SF,60,2,915,4.5,12.1,0.37,3.0,9.2,0.329,1.4,2.9,0.5,0.496,1.4,1.7,0.839,2.4,5.0,7.4,2.8,2.0,1.2,1.2,6.2,13.4,114.0,113,,wainris01,9.2,0.522,0.762,0.137,5.3,11.6,8.4,7.4,2.0,2.2,8.4,12.2,0.5,1.2,1.7,0.089,-2.7,1.5,-1.2,0.2
283,Daishen Nix,20,HOU,PG,57,7,914,4.3,12.6,0.342,2.1,7.4,0.286,2.2,5.1,0.423,0.426,1.3,1.9,0.667,1.0,4.2,5.2,7.0,1.6,0.4,4.6,3.1,12.0,88.0,121,,nixda01,5.3,0.447,0.591,0.152,2.1,9.7,5.9,19.2,1.6,0.7,25.4,15.4,-1.5,0.3,-1.2,-0.062,-5.0,-1.5,-6.5,-1.0
284,Jaylin Williams,20,OKC,C,49,36,914,5.3,12.2,0.436,2.4,5.9,0.407,2.9,6.3,0.463,0.534,2.0,2.8,0.704,2.3,10.2,12.5,3.9,1.5,0.6,1.9,5.8,15.0,115.0,112,,willija07,11.2,0.559,0.483,0.231,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,1.9,0.099,-2.3,0.6,-1.7,0.1
285,Chris Duarte,25,IND,SF,46,12,897,6.5,17.6,0.369,2.9,9.2,0.316,3.6,8.4,0.428,0.452,3.2,3.8,0.847,1.0,5.1,6.1,3.4,1.3,0.5,2.2,3.4,19.2,101.0,120,,duartch01,8.6,0.496,0.523,0.216,2.4,11.9,7.1,9.7,1.3,0.9,10.1,19.0,-0.5,0.4,0.0,-0.003,-2.9,-1.6,-4.5,-0.6
286,Derrick Jones Jr.,25,CHI,PF,64,0,893,6.3,12.5,0.5,1.5,4.4,0.338,4.8,8.2,0.587,0.559,3.4,4.6,0.738,3.3,5.1,8.3,1.9,1.6,2.0,1.4,4.7,17.4,122.0,112,,jonesde02,13.8,0.597,0.348,0.365,7.7,11.6,9.7,5.1,1.6,4.0,8.6,14.5,1.2,1.2,2.4,0.131,-1.2,0.8,-0.4,0.3
287,Dean Wade,26,CLE,PF,44,13,891,4.1,10.0,0.412,2.5,7.1,0.354,1.6,2.8,0.56,0.54,0.8,1.3,0.652,1.1,7.3,8.4,2.1,1.6,1.2,1.0,5.0,11.6,113.0,110,,wadede01,8.5,0.55,0.718,0.13,2.6,17.2,9.9,5.4,1.6,2.2,8.3,10.2,0.4,1.4,1.8,0.097,-2.9,2.1,-0.7,0.3
