Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
461,Rodions Kurucs,22,HOU,SF,11,0,75,3.2,13.3,0.238,1.3,9.5,0.133,1.9,3.8,0.5,0.286,0.6,1.3,0.5,1.3,5.7,6.9,2.5,3.8,2.5,5.7,4.4,8.2,53.0,108,,kurucro01,0.8,0.297,0.714,0.095,2.7,13.4,7.8,7.1,3.8,4.8,29.1,17.5,-0.4,0.1,-0.3,-0.176,-10.1,1.5,-8.6,-0.1,18.2,0.286,0.0,0.0,0.0,0.5,0.5,,,,0.133,1.0,1.0,0.143,2,0.267,0,0
461,Rodions Kurucs,22,MIL,SF,5,0,34,6.9,11.1,0.625,4.1,5.5,0.75,2.8,5.5,0.5,0.813,2.8,2.8,1.0,4.1,8.3,12.4,5.5,4.1,0.0,5.5,11.1,20.7,127.0,106,,kurucro01,17.9,0.845,0.5,0.25,9.6,17.9,13.9,15.0,4.1,0.0,31.1,15.9,0.1,0.1,0.1,0.199,-0.9,3.1,2.2,0.0,15.0,0.25,0.125,0.125,0.0,0.5,1.0,0.0,0.0,,0.75,0.5,1.0,0.0,0,0.0,0,0
462,Dakota Mathias,25,PHI,SG,8,2,123,7.4,18.8,0.396,3.1,10.2,0.308,4.3,8.6,0.5,0.479,0.8,2.4,0.333,0.4,2.4,2.7,5.1,0.4,1.2,0.4,2.7,18.8,107.0,114,,mathida01,9.8,0.474,0.542,0.125,0.9,5.3,3.1,15.1,0.4,2.2,1.9,18.1,0.0,0.1,0.2,0.061,-1.5,-1.0,-2.6,0.0,21.0,0.042,0.042,0.104,0.271,0.5,0.5,0.5,0.6,0.462,0.308,0.545,0.875,0.0,0,0.269,0,0
463,Quinndary Weatherspoon,24,SAS,SG,20,0,121,6.4,14.0,0.457,0.4,2.4,0.167,6.0,11.6,0.517,0.471,5.2,6.4,0.813,1.2,3.2,4.4,3.2,3.2,0.8,4.0,7.2,18.4,97.0,111,,weathqu01,9.6,0.547,0.171,0.457,2.6,7.2,4.8,9.1,3.2,1.4,19.2,18.7,-0.1,0.1,0.1,0.023,-5.8,0.7,-5.0,-0.1,9.6,0.486,0.114,0.057,0.171,0.517,0.706,0.25,0.5,0.167,0.167,0.4,1.0,0.057,2,0.0,0,0
464,T.J. Warren,27,IND,SF,4,4,117,10.9,20.6,0.529,0.0,2.8,0.0,10.9,17.8,0.614,0.529,3.2,4.0,0.8,0.8,4.8,5.7,2.0,0.8,0.0,1.6,6.5,25.0,107.0,117,,warretj01,11.6,0.56,0.137,0.196,1.9,11.1,6.5,6.5,0.8,0.0,6.7,21.6,0.1,0.1,0.1,0.045,-3.6,-1.9,-5.5,-0.1,10.7,0.333,0.137,0.196,0.196,0.614,0.824,0.714,0.3,0.5,0.0,0.593,,0.039,2,0.429,0,0
465,Dante Exum,25,CLE,SG,6,3,116,4.3,11.1,0.385,0.9,4.7,0.182,3.4,6.4,0.533,0.423,0.4,0.9,0.5,0.9,6.4,7.2,5.5,1.7,0.9,3.0,3.8,9.8,87.0,114,,exumda01,5.9,0.428,0.423,0.077,1.9,14.8,8.2,15.8,1.7,1.5,20.7,12.7,-0.2,0.1,-0.1,-0.025,-5.4,1.6,-3.8,-0.1,13.1,0.269,0.231,0.077,0.0,0.533,0.857,0.333,0.0,,0.182,0.625,1.0,0.077,2,0.182,0,0
466,Vernon Carey Jr.,19,CHO,C,19,4,115,7.6,15.3,0.5,0.4,3.0,0.143,7.2,12.3,0.586,0.514,3.8,4.7,0.818,2.5,8.9,11.5,0.8,0.4,2.1,2.1,5.5,19.5,108.0,113,,careyve01,11.7,0.563,0.194,0.306,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0.0,0.1,0.2,0.066,-4.4,-1.7,-6.1,-0.1,10.6,0.361,0.194,0.083,0.167,0.586,0.692,0.429,0.667,0.5,0.143,0.706,1.0,0.056,2,0.429,0,0
467,Rondae Hollis-Jefferson,26,POR,PF,11,1,107,4.1,8.2,0.5,0.0,0.5,0.0,4.1,7.7,0.529,0.5,4.1,7.3,0.563,5.0,6.8,11.9,5.9,0.9,1.8,0.9,6.8,12.3,136.0,116,,holliro01,14.4,0.539,0.056,0.889,10.7,15.4,13.0,15.7,0.9,3.4,7.4,10.9,0.3,0.1,0.3,0.147,-1.1,1.2,0.1,0.1,4.6,0.556,0.333,0.056,0.0,0.529,0.5,0.5,1.0,,0.0,0.444,,0.056,1,1.0,0,0
468,Robert Franks,24,ORL,PF,7,0,101,6.3,13.5,0.464,2.4,7.2,0.333,3.9,6.3,0.615,0.554,5.8,6.3,0.923,2.9,3.9,6.7,2.4,1.4,1.4,1.0,3.9,20.7,133.0,116,,frankro01,16.5,0.638,0.536,0.464,6.0,8.5,7.2,7.4,1.4,2.7,5.6,15.3,0.3,0.1,0.3,0.158,0.7,-0.8,-0.2,0.0,16.4,0.214,0.143,0.036,0.071,0.615,1.0,0.5,0.0,0.0,0.333,0.25,1.0,0.0,0,0.2,0,0
469,Anthony Tolliver,35,PHI,PF,11,0,99,1.9,8.3,0.235,1.9,6.8,0.286,0.0,1.5,0.0,0.353,2.4,2.9,0.833,1.5,3.4,4.9,1.0,1.5,1.0,1.5,3.4,8.3,91.0,111,,tollian01,4.0,0.433,0.824,0.353,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,-0.1,0.1,0.1,0.025,-5.6,-1.5,-7.0,-0.1,23.0,0.059,0.059,0.0,0.059,0.0,0.0,0.0,,0.0,0.286,,1.0,0.0,0,0.214,0,0
