Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
141,Caris LeVert,26,BRK,SG,12,4,334,12.6,28.9,0.435,3.2,9.1,0.349,9.4,19.8,0.474,0.49,3.8,4.9,0.765,1.4,6.1,7.5,10.4,1.9,0.9,3.8,2.9,32.1,108.0,114,,leverca01,19.1,0.516,0.315,0.17,3.5,13.2,8.6,34.1,1.9,1.6,10.8,31.5,0.3,0.3,0.6,0.084,2.1,-0.6,1.5,0.3,13.2,0.235,0.21,0.17,0.07,0.474,0.66,0.381,0.441,0.214,0.349,0.369,0.318,0.03,6,0.127,0,0
141,Caris LeVert,26,IND,SG,35,35,1152,11.2,25.2,0.443,2.5,8.0,0.318,8.6,17.2,0.501,0.493,4.9,6.0,0.822,0.9,5.7,6.6,7.1,2.2,1.0,3.1,3.5,29.8,107.0,112,,leverca01,17.4,0.535,0.318,0.238,2.2,13.0,7.6,22.9,2.2,1.7,10.1,27.9,0.6,1.2,1.8,0.075,0.5,-0.5,0.0,0.6,13.5,0.22,0.205,0.195,0.062,0.501,0.659,0.333,0.533,0.395,0.318,0.376,0.645,0.018,11,0.149,1,0
142,Elfrid Payton,26,NYK,PG,63,63,1484,9.1,21.0,0.432,0.9,3.3,0.286,8.1,17.7,0.46,0.455,2.5,3.6,0.682,2.2,5.1,7.3,6.8,1.6,0.3,3.5,3.9,21.5,99.0,110,,paytoel01,11.7,0.478,0.158,0.172,4.7,11.0,7.9,21.6,1.6,0.6,13.3,23.2,-0.9,1.9,1.0,0.032,-2.9,-0.1,-3.0,-0.4,8.4,0.368,0.339,0.093,0.042,0.46,0.576,0.393,0.293,0.346,0.286,0.27,0.964,0.014,7,0.398,0,0
143,LaMelo Ball,19,CHO,PG,51,31,1469,9.7,22.3,0.436,3.1,8.7,0.352,6.7,13.7,0.489,0.504,4.2,5.5,0.758,2.1,7.9,10.0,10.4,2.7,0.6,4.8,4.5,26.7,108.0,110,ROY-1,ballla01,17.5,0.539,0.388,0.246,4.6,17.9,11.1,33.9,2.7,1.2,16.3,26.1,1.0,1.9,2.8,0.093,1.1,0.7,1.8,1.4,13.7,0.302,0.174,0.095,0.04,0.489,0.576,0.419,0.375,0.407,0.352,0.284,0.728,0.018,8,0.161,1,0
144,Dāvis Bertāns,28,WAS,PF,57,7,1464,6.1,15.1,0.404,5.3,13.5,0.395,0.8,1.6,0.48,0.581,3.1,3.6,0.87,0.6,4.7,5.3,1.5,1.0,0.4,1.0,4.3,20.6,120.0,116,,bertada01,11.4,0.62,0.895,0.241,1.3,10.8,6.1,4.4,1.0,0.7,5.9,15.9,2.1,1.0,3.1,0.101,0.3,-1.1,-0.8,0.4,24.8,0.036,0.04,0.013,0.017,0.48,0.706,0.474,0.167,0.25,0.395,0.75,0.97,0.01,4,0.143,3,0
145,Shake Milton,24,PHI,SG,63,4,1461,9.9,22.0,0.45,2.3,6.7,0.35,7.6,15.3,0.494,0.503,4.8,5.8,0.83,1.1,3.8,4.9,6.4,1.3,0.6,3.4,4.3,27.0,109.0,112,6MOY-12,miltosh01,14.6,0.549,0.304,0.264,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,1.1,1.6,2.8,0.091,-0.7,-1.0,-1.6,0.1,13.9,0.193,0.214,0.181,0.106,0.494,0.62,0.42,0.479,0.437,0.35,0.362,0.803,0.0,0,0.182,0,0
146,Isaiah Stewart,19,DET,C,68,14,1455,7.6,13.8,0.553,0.7,2.1,0.333,6.9,11.7,0.592,0.578,2.2,3.1,0.696,5.4,9.9,15.3,2.0,1.3,2.9,2.3,6.2,18.1,118.0,109,,stewais01,16.4,0.597,0.154,0.225,12.0,22.7,17.3,6.3,1.3,5.2,13.0,15.5,1.9,2.1,4.0,0.132,-1.6,0.5,-1.1,0.3,7.4,0.494,0.252,0.066,0.034,0.592,0.644,0.524,0.556,0.429,0.333,0.659,1.0,0.108,37,0.079,0,0
147,Myles Turner,24,IND,C,47,47,1455,6.7,14.0,0.477,2.2,6.7,0.335,4.5,7.3,0.606,0.557,3.6,4.6,0.782,2.0,7.9,9.9,1.6,1.3,5.2,2.2,5.4,19.2,112.0,108,DPOY-9,turnemy01,15.3,0.599,0.477,0.329,4.7,18.0,11.4,4.4,1.3,8.8,11.9,16.4,1.1,2.2,3.3,0.11,-1.6,2.0,0.4,0.9,14.3,0.329,0.148,0.028,0.019,0.606,0.725,0.438,0.333,0.25,0.335,0.759,1.0,0.063,26,0.218,0,0
148,Chris Boucher,28,TOR,C,60,14,1453,9.6,18.7,0.514,3.0,7.8,0.383,6.6,10.8,0.609,0.595,5.1,6.4,0.788,3.9,9.6,13.5,2.1,1.2,3.7,1.5,5.5,27.2,127.0,109,6MOY-8,bouchch01,21.9,0.634,0.42,0.345,8.5,22.5,15.3,6.9,1.2,7.6,6.7,20.5,4.0,2.1,6.1,0.201,2.7,0.6,3.3,2.0,12.8,0.382,0.154,0.014,0.03,0.609,0.692,0.465,0.5,0.353,0.383,0.687,0.978,0.096,46,0.14,0,0
149,Bruce Brown,24,BRK,PG,65,37,1451,7.8,14.1,0.556,0.6,2.0,0.288,7.2,12.1,0.599,0.576,2.9,3.9,0.735,3.7,7.9,11.6,3.5,1.9,0.9,1.8,4.8,19.0,124.0,112,,brownbr01,16.1,0.604,0.139,0.277,8.9,17.2,13.3,9.8,1.9,1.7,10.2,15.9,2.8,1.5,4.4,0.144,-0.4,0.2,-0.1,0.7,6.4,0.513,0.286,0.057,0.005,0.599,0.7,0.479,0.292,0.5,0.288,0.752,1.0,0.054,22,0.746,0,0
150,Cory Joseph,29,2TM,PG,63,13,1446,6.7,14.2,0.469,1.5,4.4,0.341,5.2,9.8,0.527,0.522,2.4,2.9,0.818,1.2,4.1,5.3,7.1,2.0,0.6,2.6,4.6,17.3,112.0,116,,josepco01,12.5,0.556,0.31,0.207,2.7,9.7,6.1,21.4,2.0,1.1,14.5,16.3,1.3,0.8,2.1,0.069,-1.8,0.0,-1.8,0.1,12.7,0.218,0.254,0.143,0.075,0.527,0.753,0.463,0.328,0.469,0.341,0.335,0.889,0.0,0,0.303,0,0
150,Cory Joseph,29,SAC,PG,44,2,944,5.6,12.7,0.444,1.6,4.8,0.33,4.1,7.9,0.513,0.506,1.8,2.4,0.766,1.3,3.8,5.0,5.5,2.0,0.5,2.2,5.0,14.7,109.0,119,,josepco01,9.9,0.534,0.376,0.188,2.9,8.8,5.8,14.9,2.0,0.8,14.0,14.3,0.4,0.3,0.7,0.037,-3.0,-0.3,-3.3,-0.3,14.3,0.2,0.196,0.14,0.088,0.513,0.74,0.51,0.2,0.5,0.33,0.413,0.968,0.0,0,0.362,0,0
150,Cory Joseph,29,DET,PG,19,11,502,8.7,17.2,0.506,1.4,3.7,0.368,7.3,13.5,0.543,0.545,3.5,4.0,0.878,1.0,4.9,5.9,10.3,2.1,0.9,3.4,4.0,22.3,117.0,112,,josepco01,17.3,0.588,0.216,0.233,2.2,11.2,6.6,33.7,2.1,1.6,15.3,19.9,0.8,0.5,1.4,0.13,0.5,0.4,0.9,0.4,11.2,0.244,0.335,0.148,0.057,0.543,0.767,0.424,0.5,0.4,0.368,0.253,0.714,0.0,0,0.158,0,0
151,Cameron Johnson,24,PHO,PF,60,11,1437,7.0,16.6,0.42,4.0,11.5,0.349,3.0,5.1,0.581,0.541,1.7,2.0,0.847,1.1,5.7,6.8,3.0,1.3,0.5,1.4,2.9,19.7,112.0,113,,johnsca02,11.8,0.563,0.694,0.122,2.6,12.9,7.9,8.0,1.3,1.0,7.3,17.0,1.2,1.4,2.6,0.086,0.0,-0.2,-0.2,0.7,19.5,0.143,0.066,0.054,0.043,0.581,0.754,0.5,0.346,0.429,0.349,0.837,0.983,0.046,20,0.379,1,0
152,OG Anunoby,23,TOR,SF,43,43,1433,8.4,17.5,0.48,3.5,8.8,0.398,4.9,8.7,0.562,0.58,2.7,3.4,0.784,1.8,6.2,8.0,3.2,2.2,1.1,2.5,3.9,23.0,113.0,112,,anunoog01,15.4,0.605,0.503,0.197,4.0,14.6,9.1,10.1,2.2,2.2,11.7,19.3,1.5,1.6,3.1,0.104,0.8,0.4,1.2,1.2,14.8,0.256,0.173,0.04,0.027,0.562,0.759,0.344,0.381,0.357,0.398,0.51,0.971,0.116,55,0.467,1,0
153,Kenrich Williams,26,OKC,PF,66,13,1426,7.3,13.7,0.533,1.7,3.9,0.444,5.6,9.8,0.568,0.596,1.2,2.1,0.571,2.8,6.3,9.1,5.1,1.8,0.6,2.5,4.8,17.5,116.0,114,,willike04,14.0,0.599,0.285,0.153,6.1,14.0,10.0,16.4,1.8,1.1,14.8,15.3,1.6,1.2,2.8,0.096,-1.2,0.5,-0.7,0.4,11.8,0.324,0.207,0.102,0.083,0.568,0.729,0.447,0.429,0.412,0.444,0.473,0.904,0.027,10,0.333,1,0
154,Facundo Campazzo,29,DEN,PG,65,19,1425,4.2,10.9,0.381,2.6,7.5,0.352,1.5,3.4,0.444,0.502,2.8,3.2,0.879,0.8,3.9,4.6,8.0,2.7,0.5,2.5,4.6,13.7,117.0,112,6MOY-15,campafa01,11.6,0.558,0.686,0.289,1.8,8.9,5.3,20.2,2.7,1.0,17.1,13.1,1.6,1.5,3.1,0.105,-1.7,1.2,-0.6,0.5,19.6,0.105,0.137,0.054,0.019,0.444,0.636,0.419,0.235,0.167,0.352,0.273,0.842,0.0,0,0.269,2,0
155,Isaiah Roby,22,OKC,PF,61,34,1425,6.9,14.3,0.483,1.1,3.6,0.294,5.8,10.7,0.547,0.52,2.9,3.9,0.744,3.0,8.4,11.4,3.6,1.7,1.2,3.8,5.4,17.8,102.0,112,,robyis01,11.9,0.555,0.254,0.273,6.4,18.6,12.4,11.4,1.7,2.3,19.0,17.7,-0.3,1.5,1.3,0.043,-3.7,0.4,-3.3,-0.5,9.5,0.424,0.254,0.051,0.016,0.547,0.643,0.422,0.409,0.429,0.294,0.554,0.906,0.114,44,0.174,2,0
156,Lou Williams,34,2TM,PG,66,4,1423,9.2,22.4,0.41,2.4,6.0,0.399,6.8,16.4,0.414,0.464,5.2,6.0,0.867,0.7,4.1,4.8,7.8,1.6,0.2,3.7,2.2,26.0,106.0,114,,willilo02,14.0,0.519,0.268,0.268,1.7,8.9,5.4,23.4,1.6,0.4,13.0,25.7,0.5,1.2,1.7,0.056,-1.0,-1.5,-2.5,-0.2,14.3,0.132,0.203,0.226,0.172,0.414,0.624,0.359,0.404,0.333,0.399,0.276,0.58,0.0,0,0.283,0,0
156,Lou Williams,34,LAC,PG,42,3,918,9.8,23.2,0.421,2.4,6.4,0.378,7.3,16.8,0.437,0.473,5.6,6.4,0.866,0.8,3.9,4.7,7.8,2.1,0.2,3.6,2.3,27.5,108.0,112,,willilo02,15.7,0.529,0.277,0.277,1.9,8.7,5.4,23.3,2.1,0.4,12.0,26.5,0.7,0.9,1.6,0.084,-0.5,-1.0,-1.5,0.1,14.4,0.128,0.223,0.205,0.167,0.437,0.709,0.385,0.42,0.319,0.378,0.316,0.733,0.0,0,0.303,0,0
156,Lou Williams,34,ATL,PG,24,1,505,8.2,21.0,0.389,2.3,5.3,0.444,5.8,15.8,0.37,0.444,4.6,5.3,0.87,0.6,4.3,4.9,7.9,0.8,0.2,4.1,1.9,23.3,101.0,118,,willilo02,10.8,0.498,0.25,0.25,1.3,9.3,5.4,23.7,0.8,0.3,14.9,24.3,-0.2,0.2,0.0,0.004,-1.8,-2.5,-4.3,-0.3,14.2,0.139,0.162,0.269,0.181,0.37,0.467,0.286,0.379,0.359,0.444,0.183,0.292,0.0,0,0.241,0,0
157,Brandon Clarke,24,MEM,PF,59,16,1415,8.7,16.7,0.517,0.7,2.6,0.26,8.0,14.1,0.565,0.537,2.6,3.8,0.69,3.3,7.8,11.1,3.2,2.0,1.7,1.1,2.8,20.6,119.0,109,,clarkbr01,17.3,0.56,0.156,0.228,7.2,17.5,12.3,9.5,2.0,3.2,5.7,17.2,2.2,2.0,4.2,0.142,0.4,1.2,1.5,1.3,8.0,0.412,0.279,0.131,0.022,0.565,0.725,0.428,0.385,0.364,0.26,0.814,1.0,0.145,59,0.597,0,0
158,Raul Neto,28,WAS,PG,64,22,1403,6.9,14.7,0.468,2.1,5.4,0.39,4.8,9.3,0.512,0.539,2.5,2.8,0.882,0.9,4.2,5.1,4.8,2.4,0.2,1.7,3.6,18.3,115.0,113,,netora01,13.0,0.575,0.367,0.19,2.1,9.6,5.9,14.0,2.4,0.4,9.9,15.8,1.5,1.3,2.8,0.097,-1.4,0.9,-0.6,0.5,13.7,0.172,0.315,0.105,0.04,0.512,0.61,0.489,0.511,0.278,0.39,0.421,0.938,0.0,0,0.274,2,0
159,Landry Shamet,23,BRK,SG,61,12,1403,6.4,15.7,0.408,4.4,11.4,0.387,2.0,4.2,0.463,0.549,2.3,2.7,0.846,0.4,3.5,3.9,3.4,1.1,0.3,1.7,3.2,19.5,113.0,118,,shamela01,10.3,0.578,0.73,0.171,0.9,7.6,4.4,9.3,1.1,0.6,8.9,16.7,1.2,0.6,1.8,0.063,-0.9,-1.5,-2.4,-0.2,20.4,0.116,0.053,0.061,0.039,0.463,0.585,0.375,0.357,0.389,0.387,0.649,0.984,0.02,8,0.282,1,0
160,Aaron Gordon,25,2TM,PF,50,50,1384,8.2,17.7,0.463,2.1,6.2,0.335,6.1,11.4,0.533,0.522,3.4,5.3,0.651,2.7,7.3,10.1,5.7,1.2,1.2,3.4,3.2,21.9,107.0,114,,gordoaa01,14.5,0.547,0.353,0.299,6.0,16.4,11.1,17.8,1.2,2.3,14.7,20.7,0.7,1.2,1.9,0.066,0.2,-0.1,0.1,0.7,13.2,0.283,0.166,0.132,0.066,0.533,0.709,0.398,0.439,0.303,0.335,0.494,0.831,0.114,52,0.188,3,0
160,Aaron Gordon,25,ORL,PF,25,25,736,8.5,19.4,0.437,2.8,7.4,0.375,5.7,12.0,0.475,0.509,4.4,6.9,0.629,2.6,8.4,11.0,6.9,1.1,1.3,4.4,3.2,24.1,103.0,114,,gordoaa01,14.9,0.537,0.382,0.358,5.3,18.5,11.7,23.0,1.1,2.5,16.5,23.8,0.0,0.6,0.6,0.037,0.5,0.1,0.6,0.5,14.9,0.225,0.157,0.147,0.089,0.475,0.667,0.326,0.442,0.308,0.375,0.384,0.81,0.072,19,0.107,2,0
160,Aaron Gordon,25,DEN,PF,25,25,648,7.9,15.7,0.5,1.3,4.9,0.266,6.6,10.8,0.606,0.541,2.4,3.4,0.705,2.9,6.1,9.0,4.3,1.3,1.1,2.3,3.1,19.4,115.0,113,,gordoaa01,14.1,0.564,0.311,0.214,6.7,13.9,10.3,11.8,1.3,2.1,11.7,17.2,0.7,0.6,1.3,0.099,-0.1,-0.3,-0.4,0.3,11.6,0.364,0.18,0.112,0.034,0.606,0.747,0.486,0.435,0.286,0.266,0.605,0.882,0.175,33,0.328,1,0
161,Wendell Carter Jr.,21,2TM,C,54,44,1375,8.1,16.1,0.503,0.5,1.8,0.294,7.6,14.3,0.53,0.52,4.6,6.3,0.732,4.7,11.0,15.6,3.7,1.2,1.5,2.8,5.2,21.4,114.0,111,,cartewe01,16.7,0.566,0.112,0.392,10.2,24.6,17.4,11.2,1.2,2.7,12.7,19.3,1.7,1.7,3.4,0.118,-1.1,-0.2,-1.3,0.2,8.3,0.4,0.256,0.158,0.074,0.53,0.689,0.444,0.361,0.324,0.294,0.767,0.933,0.112,48,0.196,0,0
161,Wendell Carter Jr.,21,CHI,C,32,25,792,7.9,15.4,0.512,0.5,1.3,0.364,7.4,14.1,0.526,0.528,5.0,6.8,0.739,4.3,11.0,15.3,4.2,1.1,1.5,3.0,5.9,21.3,115.0,110,,cartewe01,16.3,0.578,0.087,0.44,9.9,24.9,17.5,12.3,1.1,2.6,14.0,19.1,1.1,1.0,2.1,0.13,-1.4,0.4,-1.0,0.2,7.5,0.409,0.29,0.155,0.06,0.526,0.641,0.466,0.41,0.333,0.364,0.785,1.0,0.099,23,0.227,0,0
161,Wendell Carter Jr.,21,ORL,C,22,19,583,8.4,17.1,0.493,0.6,2.4,0.241,7.8,14.7,0.534,0.51,4.1,5.7,0.721,5.2,10.9,16.1,2.9,1.4,1.5,2.4,4.2,21.5,112.0,112,,cartewe01,17.3,0.549,0.141,0.332,10.7,24.1,17.2,9.7,1.4,2.8,11.0,19.5,0.6,0.7,1.2,0.103,-0.8,-1.0,-1.7,0.0,9.1,0.39,0.215,0.161,0.093,0.534,0.75,0.409,0.303,0.316,0.241,0.745,0.857,0.127,25,0.172,0,0
162,Bobby Portis,25,MIL,C,66,7,1372,10.7,20.5,0.523,2.5,5.4,0.471,8.2,15.1,0.542,0.585,1.8,2.5,0.74,4.2,11.7,16.0,2.4,1.8,0.9,1.9,3.9,25.8,121.0,109,6MOY-9,portibo01,19.9,0.598,0.263,0.122,9.9,25.3,17.9,7.4,1.8,1.7,8.2,20.9,2.8,2.0,4.8,0.167,1.8,-0.4,1.5,1.2,12.4,0.264,0.194,0.162,0.117,0.542,0.671,0.457,0.495,0.457,0.471,0.536,1.0,0.062,27,0.382,0,0
163,Kemba Walker,30,BOS,PG,43,43,1369,10.1,24.1,0.42,4.5,12.6,0.36,5.6,11.5,0.486,0.514,4.8,5.3,0.899,0.6,5.5,6.1,7.6,1.7,0.4,3.1,2.2,29.6,114.0,114,,walkeke02,17.7,0.559,0.522,0.22,1.3,12.6,6.9,23.8,1.7,0.8,10.6,26.1,2.1,1.1,3.3,0.115,2.8,-0.7,2.1,1.4,18.0,0.126,0.157,0.09,0.105,0.486,0.741,0.377,0.475,0.352,0.36,0.268,0.551,0.0,0,0.057,3,0
164,Rudy Gay,34,SAS,PF,63,1,1358,9.4,22.4,0.42,3.8,9.9,0.381,5.6,12.5,0.451,0.505,2.9,3.6,0.804,1.5,9.3,10.8,3.1,1.6,1.4,2.3,4.1,25.6,103.0,111,,gayru01,14.7,0.532,0.443,0.162,3.2,20.9,11.9,9.7,1.6,2.5,8.8,23.6,0.0,1.7,1.7,0.059,-0.1,0.0,-0.1,0.6,17.1,0.121,0.139,0.172,0.126,0.451,0.605,0.448,0.407,0.367,0.381,0.405,0.896,0.037,19,0.183,2,0
165,P.J. Tucker,35,2TM,PF,52,33,1356,2.3,6.2,0.373,1.4,4.1,0.336,0.9,2.0,0.448,0.486,0.7,1.0,0.75,1.8,5.3,7.1,2.1,1.4,0.7,1.4,4.4,6.7,104.0,116,,tuckepj01,5.5,0.51,0.672,0.158,3.9,12.3,8.0,5.7,1.4,1.3,17.4,7.2,0.1,0.9,1.0,0.034,-4.6,0.5,-4.1,-0.7,17.5,0.186,0.096,0.034,0.011,0.448,0.515,0.412,0.167,0.5,0.336,0.808,1.0,0.0,0,0.849,0,0
165,P.J. Tucker,35,HOU,PF,32,32,959,2.4,6.5,0.366,1.3,4.2,0.314,1.0,2.2,0.467,0.469,0.9,1.1,0.783,1.6,5.7,7.3,2.2,1.4,0.9,1.6,4.5,7.0,99.0,116,,tuckepj01,5.5,0.5,0.656,0.176,3.5,13.3,8.2,6.1,1.4,1.7,19.0,7.7,-0.2,0.6,0.4,0.021,-5.3,0.7,-4.6,-0.6,16.9,0.198,0.099,0.031,0.015,0.467,0.5,0.462,0.25,0.5,0.314,0.81,1.0,0.0,0,0.826,0,0
165,P.J. Tucker,35,MIL,PF,20,1,397,2.1,5.4,0.391,1.5,3.9,0.394,0.6,1.5,0.385,0.533,0.4,0.6,0.6,2.1,4.5,6.6,1.9,1.2,0.2,0.8,4.0,6.2,120.0,115,,tuckepj01,5.7,0.539,0.717,0.109,4.9,9.7,7.4,4.6,1.2,0.4,12.7,5.8,0.2,0.3,0.5,0.065,-2.9,0.0,-2.9,-0.1,18.1,0.152,0.087,0.043,0.0,0.385,0.571,0.25,0.0,,0.394,0.8,1.0,0.0,0,0.909,0,0
166,Robin Lopez,32,WAS,C,71,9,1354,9.2,14.5,0.633,0.2,0.6,0.278,9.0,13.9,0.649,0.639,3.4,4.7,0.723,4.8,4.5,9.3,1.9,0.5,1.5,2.6,3.7,21.9,124.0,116,,lopezro01,16.7,0.661,0.042,0.322,11.1,10.2,10.6,5.9,0.5,2.7,13.4,17.1,2.8,0.9,3.7,0.131,0.2,-1.2,-1.0,0.4,5.4,0.318,0.595,0.042,0.0,0.649,0.696,0.648,0.333,,0.278,0.617,1.0,0.08,32,0.722,0,0
167,Bryn Forbes,27,MIL,SG,70,10,1354,8.7,18.3,0.473,5.3,11.8,0.452,3.3,6.5,0.511,0.618,1.6,2.1,0.77,0.4,3.5,3.9,1.6,0.8,0.0,1.5,2.7,24.3,119.0,117,,forbebr01,12.8,0.631,0.645,0.115,0.9,7.6,4.3,4.5,0.8,0.1,7.3,18.5,2.0,0.7,2.7,0.096,0.4,-1.7,-1.3,0.2,21.0,0.045,0.078,0.091,0.142,0.511,0.542,0.39,0.604,0.507,0.452,0.667,0.968,0.002,1,0.229,0,0
168,Bismack Biyombo,28,CHO,C,66,36,1349,5.1,8.8,0.587,0.0,0.0,0.0,5.1,8.7,0.589,0.587,1.7,3.8,0.448,5.0,7.6,12.6,2.9,0.6,2.7,2.6,5.1,12.0,113.0,113,,biyombi01,11.7,0.574,0.004,0.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,0.9,1.4,2.3,0.081,-3.4,0.4,-3.0,-0.4,2.8,0.698,0.256,0.037,0.004,0.589,0.692,0.355,0.333,0.0,0.0,0.873,,0.318,70,1.0,0,0
169,Josh Hart,25,NOP,SF,47,4,1349,5.4,12.2,0.439,2.2,6.9,0.326,3.1,5.4,0.583,0.531,2.5,3.2,0.775,1.9,11.5,13.4,3.9,1.4,0.4,1.7,3.9,15.4,117.0,113,,hartjo01,12.2,0.566,0.561,0.259,4.3,26.1,15.2,10.6,1.4,0.8,11.3,13.5,1.4,1.3,2.7,0.097,-1.1,0.3,-0.8,0.4,16.1,0.302,0.061,0.026,0.049,0.583,0.654,0.381,0.556,0.412,0.326,0.591,0.984,0.035,12,0.342,1,1
170,Naz Reid,21,MIN,C,70,15,1347,10.7,20.4,0.523,2.1,6.1,0.351,8.5,14.3,0.597,0.576,4.0,5.8,0.693,2.9,8.4,11.3,2.5,1.2,2.7,2.4,6.3,27.5,115.0,113,,reidna01,18.2,0.599,0.299,0.286,6.4,20.0,12.9,8.7,1.2,4.9,9.5,22.5,1.9,1.3,3.2,0.113,-0.1,-0.2,-0.2,0.6,10.0,0.418,0.263,0.017,0.002,0.597,0.704,0.464,0.1,0.0,0.351,0.626,1.0,0.084,43,0.224,1,0
171,Terrence Ross,29,ORL,SG,46,2,1347,9.2,22.3,0.412,3.2,9.5,0.337,6.0,12.7,0.469,0.485,4.3,5.0,0.87,0.5,5.2,5.7,3.9,1.7,0.8,2.7,3.2,25.9,103.0,115,,rosste01,13.2,0.53,0.429,0.224,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,-0.1,1.0,0.9,0.03,-1.4,-0.8,-2.3,-0.1,18.3,0.063,0.12,0.172,0.216,0.469,0.744,0.365,0.538,0.391,0.337,0.485,0.775,0.023,11,0.106,1,0
172,Maxi Kleber,29,DAL,PF,50,40,1341,4.3,10.1,0.422,3.2,7.8,0.41,1.1,2.3,0.46,0.58,1.3,1.4,0.919,1.7,7.8,9.6,2.5,0.9,1.3,1.1,3.9,13.0,123.0,113,,klebima01,10.6,0.606,0.771,0.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,1.6,1.3,2.9,0.103,-0.5,0.5,0.0,0.7,20.9,0.102,0.047,0.055,0.025,0.46,0.643,0.154,0.467,0.286,0.41,0.793,1.0,0.044,8,0.316,0,0
173,Andre Iguodala,37,MIA,SF,63,5,1339,3.5,9.2,0.383,2.2,6.8,0.33,1.3,2.4,0.53,0.504,0.9,1.4,0.658,1.4,6.8,8.2,5.3,2.1,1.3,2.5,3.3,10.2,103.0,110,,iguodan01,9.2,0.519,0.734,0.153,3.3,15.4,9.4,14.3,2.1,2.7,20.2,11.2,-0.1,1.8,1.7,0.062,-2.2,1.8,-0.4,0.5,20.3,0.149,0.048,0.032,0.036,0.53,0.649,0.5,0.25,0.333,0.33,0.8,0.933,0.077,17,0.478,5,0
174,Goran Dragić,34,MIA,PG,50,11,1337,8.9,20.6,0.432,3.4,9.1,0.373,5.5,11.6,0.479,0.514,3.8,4.5,0.828,0.9,5.4,6.3,8.1,1.2,0.3,4.4,4.2,25.0,104.0,114,,dragigo01,13.0,0.552,0.44,0.22,2.2,12.1,7.2,25.9,1.2,0.6,16.2,24.5,0.2,1.2,1.3,0.048,-1.1,-1.3,-2.3,-0.1,15.3,0.205,0.164,0.142,0.049,0.479,0.588,0.396,0.456,0.37,0.373,0.322,0.802,0.0,0,0.172,1,0
175,Kent Bazemore,31,GSW,SF,67,18,1333,6.2,13.8,0.449,2.6,6.5,0.408,3.6,7.3,0.486,0.545,1.9,2.7,0.692,0.9,7.2,8.1,3.8,2.4,1.2,2.9,5.6,16.9,101.0,108,,bazemke01,10.6,0.564,0.469,0.199,2.1,16.0,9.1,11.1,2.4,2.2,16.1,16.3,-0.2,2.1,1.8,0.065,-2.9,1.7,-1.2,0.2,15.3,0.214,0.168,0.061,0.087,0.486,0.643,0.485,0.292,0.235,0.408,0.624,0.907,0.01,4,0.527,0,0
176,Kristaps Porziņģis,25,DAL,C,43,43,1327,12.1,25.4,0.476,3.6,9.6,0.376,8.5,15.8,0.536,0.547,4.4,5.1,0.855,3.0,11.1,14.2,2.5,0.7,2.2,1.9,4.3,32.1,117.0,110,,porzikr01,21.3,0.582,0.378,0.202,6.9,24.6,15.8,8.4,0.7,4.1,6.4,26.5,2.6,1.7,4.3,0.154,3.0,-0.8,2.2,1.4,15.1,0.223,0.154,0.157,0.089,0.536,0.75,0.457,0.402,0.377,0.376,0.711,0.969,0.101,59,0.062,3,0
177,Christian Wood,25,HOU,C,41,41,1326,11.7,22.8,0.514,2.7,7.4,0.374,9.0,15.5,0.581,0.574,4.5,7.1,0.631,2.7,11.4,14.1,2.5,1.2,1.7,2.9,3.1,30.7,111.0,112,,woodch01,20.0,0.591,0.322,0.309,5.9,26.8,15.9,9.4,1.2,3.2,9.9,25.9,1.4,1.4,2.8,0.1,1.7,-0.3,1.4,1.1,12.3,0.336,0.195,0.069,0.078,0.581,0.805,0.352,0.455,0.3,0.374,0.687,0.87,0.158,91,0.155,0,0
178,Svi Mykhailiuk,23,2TM,SF,66,14,1324,7.6,18.4,0.411,3.8,11.4,0.334,3.8,7.0,0.536,0.515,1.4,1.8,0.76,0.9,5.1,5.9,4.0,1.9,0.4,3.2,2.3,20.4,98.0,114,,mykhasv01,10.4,0.529,0.621,0.099,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,-0.8,1.1,0.3,0.01,-1.9,-0.7,-2.6,-0.2,17.9,0.209,0.105,0.04,0.026,0.536,0.66,0.302,0.5,0.538,0.334,0.563,0.886,0.03,14,0.223,1,0
