Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
11,Josh Hart,28,NYK,SF,81,42,2707,5.5,12.6,0.434,1.5,4.8,0.31,4.0,7.8,0.511,0.493,1.7,2.1,0.791,2.4,10.2,12.6,6.2,1.4,0.4,2.2,3.2,14.2,115.0,113,,hartjo01,11.8,0.522,0.38,0.169,5.3,22.8,14.0,16.3,1.4,0.8,13.9,13.5,2.0,3.6,5.7,0.1,-1.3,1.4,0.0,1.4
12,Anthony Davis,30,LAL,C,76,76,2700,12.6,22.6,0.556,0.5,1.9,0.271,12.0,20.7,0.582,0.567,7.4,9.1,0.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,124.0,109,DPOY-4ASNBA2DEF1,davisan02,25.8,0.621,0.083,0.402,10.4,28.3,19.8,15.5,1.6,5.7,9.5,26.7,7.2,4.7,11.8,0.21,3.5,1.7,5.1,4.9
13,Fred VanVleet,29,HOU,PG,73,73,2684,7.6,18.4,0.416,4.1,10.6,0.387,3.5,7.8,0.454,0.527,3.6,4.1,0.86,0.6,4.4,5.0,10.6,1.8,1.1,2.3,3.3,22.9,123.0,114,,vanvlfr01,16.7,0.568,0.576,0.225,1.3,9.9,5.6,31.1,1.8,2.0,10.1,19.7,5.3,3.1,8.4,0.15,2.6,0.8,3.4,3.6
14,De'Aaron Fox,26,SAC,PG,74,74,2659,13.2,28.3,0.465,3.9,10.6,0.369,9.2,17.7,0.522,0.534,5.7,7.7,0.738,1.2,5.0,6.2,7.6,2.7,0.6,3.5,3.5,35.9,113.0,114,CPOY-12,foxde01,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31.0,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2
15,Pascal Siakam,29,2TM,PF,80,80,2657,12.2,22.8,0.536,1.5,4.4,0.346,10.7,18.4,0.581,0.569,5.2,7.1,0.732,2.5,7.7,10.2,6.1,1.1,0.4,2.5,3.5,31.2,121.0,119,,siakapa01,19.7,0.601,0.194,0.312,5.8,18.1,11.9,19.4,1.1,0.8,8.9,25.3,5.4,1.5,6.9,0.124,2.6,-0.7,1.9,2.7
15,Pascal Siakam,29,TOR,PF,39,39,1354,11.6,22.2,0.522,1.6,5.2,0.317,10.0,17.0,0.584,0.559,6.0,8.0,0.758,1.9,6.8,8.8,6.8,1.1,0.4,3.0,3.1,30.8,119.0,120,,siakapa01,18.8,0.6,0.233,0.358,4.3,15.9,10.0,22.1,1.1,0.7,10.3,25.3,2.4,0.6,3.0,0.106,2.2,-0.8,1.4,1.2
15,Pascal Siakam,29,IND,PF,41,41,1303,12.9,23.5,0.549,1.4,3.7,0.386,11.5,19.8,0.58,0.579,4.4,6.3,0.699,3.1,8.5,11.5,5.5,1.1,0.5,2.1,3.8,31.6,123.0,119,,siakapa01,20.7,0.602,0.156,0.267,7.4,20.3,13.9,16.5,1.1,0.9,7.4,25.2,3.0,0.9,3.9,0.143,3.0,-0.5,2.5,1.5
16,Jayson Tatum,25,BOS,PF,74,74,2645,12.6,26.6,0.471,4.3,11.4,0.376,8.3,15.3,0.542,0.552,7.7,9.3,0.833,1.3,10.0,11.2,6.8,1.4,0.8,3.5,2.7,37.1,121.0,111,MVP-6CPOY-9ASNBA1,tatumja01,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21.0,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7
17,Austin Reaves,25,LAL,SG,82,57,2629,8.3,17.0,0.486,2.8,7.6,0.367,5.5,9.4,0.583,0.568,4.2,4.9,0.853,1.0,5.3,6.4,8.1,1.2,0.5,3.1,2.8,23.5,119.0,118,,reaveau01,15.5,0.613,0.447,0.289,2.5,11.9,7.4,23.5,1.2,0.8,14.1,20.3,3.9,2.0,5.9,0.108,0.9,-0.4,0.4,1.6
18,Tyrese Maxey,23,PHI,PG,70,70,2626,12.0,26.6,0.45,4.0,10.7,0.373,8.0,15.9,0.501,0.524,6.1,7.1,0.868,0.7,4.2,4.8,8.1,1.3,0.6,2.2,2.8,34.0,121.0,117,MIP-1AS,maxeyty01,19.8,0.573,0.401,0.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28.0,5.9,2.1,8.1,0.147,4.1,-1.0,3.1,3.4
19,Luka Dončić,24,DAL,PG,70,70,2624,14.7,30.2,0.487,5.2,13.6,0.382,9.5,16.6,0.573,0.573,8.7,11.1,0.786,1.1,10.8,11.8,12.5,1.8,0.7,5.2,2.7,43.3,122.0,113,MVP-3CPOY-6ASNBA1,doncilu01,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0
20,Nikola Vučević,33,CHI,C,76,74,2610,11.2,23.1,0.484,1.8,6.0,0.294,9.4,17.2,0.55,0.522,2.0,2.5,0.822,4.0,11.3,15.3,4.9,1.0,1.1,2.3,3.6,26.2,114.0,115,,vucevni01,17.7,0.54,0.258,0.107,8.8,25.8,17.1,15.2,1.0,2.4,8.6,23.3,2.7,2.8,5.4,0.1,0.8,-0.7,0.1,1.4
21,Jalen Green,21,HOU,SG,82,82,2601,10.5,24.8,0.423,3.7,11.3,0.332,6.8,13.6,0.498,0.498,5.3,6.6,0.804,0.8,7.1,7.9,5.4,1.2,0.5,3.6,2.1,30.0,107.0,115,,greenja05,14.7,0.541,0.454,0.264,1.7,15.9,8.7,17.3,1.2,1.0,11.4,27.4,0.2,2.9,3.1,0.056,0.4,-0.9,-0.5,1.0
22,Rudy Gobert,31,MIN,C,76,76,2593,7.7,11.7,0.661,0.0,0.1,0.0,7.7,11.6,0.664,0.661,4.7,7.4,0.638,5.4,13.3,18.7,1.9,1.0,3.1,2.2,4.5,20.2,131.0,104,DPOY-1DEF1,goberru01,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,5.8,5.8,11.6,0.216,0.1,1.7,1.8,2.5
23,Keegan Murray,23,SAC,SF,77,77,2588,8.3,18.3,0.454,3.4,9.6,0.358,4.9,8.7,0.56,0.548,1.9,2.3,0.831,2.0,5.9,7.9,2.4,1.5,1.1,1.2,3.8,22.0,117.0,116,,murrake02,13.3,0.569,0.524,0.127,4.5,13.9,9.1,6.9,1.5,2.1,5.9,18.1,2.6,2.6,5.2,0.096,-0.4,-0.5,-0.9,0.8
24,Miles Bridges,25,CHO,SF,69,67,2581,10.7,23.1,0.462,3.0,8.6,0.349,7.7,14.5,0.529,0.527,3.3,4.0,0.825,1.4,8.3,9.7,4.4,1.2,0.6,2.6,2.3,27.7,108.0,120,,bridgmi02,15.4,0.556,0.372,0.174,3.0,19.5,11.0,14.6,1.2,1.2,9.6,24.7,0.7,1.4,2.2,0.04,0.2,-1.3,-1.1,0.6
25,Damian Lillard,33,MIL,PG,73,73,2579,10.1,23.8,0.424,4.1,11.6,0.354,6.0,12.2,0.49,0.51,8.8,9.6,0.92,0.7,5.3,6.0,9.5,1.3,0.3,3.6,2.5,33.1,120.0,118,CPOY-11AS,lillada01,19.6,0.59,0.487,0.403,1.6,11.8,6.8,28.8,1.3,0.6,11.4,28.4,5.8,1.9,7.7,0.143,3.4,-1.3,2.1,2.7
26,Giannis Antetokounmpo,29,MIL,PF,73,73,2567,15.7,25.6,0.611,0.6,2.3,0.274,15.0,23.3,0.645,0.624,9.6,14.6,0.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,126.0,112,MVP-4DPOY-9CPOY-12ASNBA1,antetgi01,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2
27,Michael Porter Jr.,25,DEN,SF,81,81,2565,10.1,20.9,0.484,4.3,10.7,0.397,5.8,10.1,0.575,0.586,1.8,2.1,0.836,2.0,8.9,10.9,2.4,0.8,1.0,1.8,2.9,26.2,117.0,114,,portemi01,15.5,0.601,0.513,0.102,4.7,19.3,12.2,6.7,0.8,1.8,7.5,20.7,3.1,3.1,6.2,0.115,1.2,-1.2,0.1,1.3
28,Shai Gilgeous-Alexander,25,OKC,PG,75,75,2553,15.0,28.0,0.535,1.8,5.1,0.353,13.2,22.9,0.576,0.567,10.7,12.2,0.874,1.2,6.6,7.8,8.8,2.8,1.3,3.1,3.5,42.4,129.0,110,MVP-2DPOY-7CPOY-3ASNBA1,gilgesh01,29.3,0.636,0.181,0.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1
29,Grayson Allen,28,PHO,SG,75,74,2513,6.6,13.3,0.499,4.0,8.6,0.461,2.6,4.6,0.57,0.649,2.5,2.9,0.878,0.9,4.8,5.7,4.4,1.3,0.9,1.8,3.1,19.7,130.0,117,,allengr01,13.8,0.679,0.652,0.216,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,4.7,2.2,6.9,0.132,1.1,0.1,1.3,2.0
30,LeBron James,39,LAL,PF,71,71,2504,13.0,24.1,0.54,2.8,6.9,0.41,10.2,17.2,0.592,0.599,5.8,7.7,0.75,1.2,8.7,9.8,11.2,1.7,0.7,4.7,1.5,34.6,120.0,114,CPOY-10ASNBA3,jamesle01,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4
31,Paul George,33,LAC,PF,74,74,2502,11.5,24.4,0.471,4.8,11.6,0.413,6.7,12.8,0.523,0.569,5.2,5.7,0.907,0.7,6.9,7.7,5.2,2.2,0.7,3.0,4.0,33.0,119.0,114,AS,georgpa01,19.3,0.613,0.476,0.235,1.7,15.3,8.8,16.1,2.2,1.3,10.1,26.6,4.4,2.8,7.3,0.14,2.9,0.2,3.2,3.3
32,Dennis Schröder,30,2TM,PG,80,58,2486,7.9,18.2,0.435,2.7,7.2,0.375,5.2,11.0,0.474,0.509,3.5,4.2,0.836,0.8,4.0,4.7,9.6,1.2,0.3,3.0,3.2,22.0,114.0,121,,schrode01,13.3,0.55,0.397,0.23,1.7,9.2,5.3,28.0,1.2,0.6,13.0,20.3,2.3,1.0,3.3,0.063,-0.5,-1.3,-1.8,0.1
32,Dennis Schröder,30,TOR,PG,51,33,1559,7.7,17.3,0.442,2.4,6.8,0.35,5.3,10.5,0.501,0.511,3.9,4.6,0.852,0.7,3.7,4.3,9.7,1.4,0.2,2.6,3.3,21.6,117.0,122,,schrode01,13.9,0.559,0.394,0.267,1.5,8.5,4.9,28.0,1.4,0.5,11.7,19.4,2.0,0.5,2.5,0.076,-0.5,-1.3,-1.8,0.1
32,Dennis Schröder,30,BRK,PG,29,25,927,8.3,19.7,0.424,3.3,7.9,0.412,5.1,11.8,0.432,0.507,2.7,3.4,0.797,0.9,4.5,5.4,9.3,0.9,0.5,3.7,3.2,22.7,109.0,120,,schrode01,12.3,0.535,0.402,0.174,1.9,10.3,6.0,28.0,0.9,0.9,15.0,21.8,0.3,0.5,0.8,0.042,-0.5,-1.4,-1.9,0.0
33,D'Angelo Russell,27,LAL,PG,76,69,2484,9.4,20.7,0.456,4.3,10.4,0.415,5.1,10.2,0.497,0.56,3.0,3.7,0.828,0.5,4.0,4.5,9.2,1.3,0.7,3.0,3.0,26.2,116.0,118,,russeda01,16.0,0.588,0.505,0.178,1.3,8.9,5.3,27.6,1.3,1.3,11.8,23.0,3.3,1.8,5.1,0.099,1.7,-0.8,0.9,1.8
34,James Harden,34,LAC,PG,72,72,2470,7.0,16.4,0.428,3.7,9.8,0.381,3.3,6.7,0.497,0.541,6.0,6.9,0.878,0.7,6.7,7.4,12.3,1.5,1.1,3.7,2.5,23.8,125.0,116,,hardeja01,18.6,0.612,0.594,0.418,1.6,14.8,8.4,33.6,1.5,2.1,16.0,20.6,5.9,2.5,8.4,0.163,3.8,0.3,4.1,3.8
35,Devin Booker,27,PHO,PG,68,68,2447,12.8,26.0,0.492,3.0,8.3,0.364,9.8,17.7,0.552,0.55,8.1,9.1,0.886,1.1,5.0,6.1,9.4,1.2,0.6,3.6,4.1,36.7,124.0,117,ASNBA3,bookede01,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,0.181,4.0,-1.0,3.0,3.1
36,Jarrett Allen,25,CLE,C,77,77,2442,10.5,16.6,0.634,0.0,0.1,0.0,10.5,16.4,0.638,0.634,4.7,6.4,0.742,4.9,11.5,16.4,4.2,1.1,1.6,2.4,3.0,25.7,131.0,110,DPOY-10,allenja01,21.8,0.664,0.007,0.383,11.3,25.8,18.7,13.2,1.1,3.0,11.2,19.4,6.8,3.9,10.7,0.21,2.1,0.9,3.0,3.1
37,Jabari Smith Jr.,20,HOU,PF,76,76,2424,7.6,16.7,0.454,2.8,7.6,0.363,4.8,9.1,0.53,0.537,3.0,3.7,0.811,2.8,9.5,12.3,2.4,1.0,1.2,1.8,4.0,20.9,116.0,113,,smithja05,13.8,0.571,0.456,0.222,6.1,21.3,13.6,7.1,1.0,2.3,8.9,17.6,2.4,3.2,5.6,0.111,-0.5,0.1,-0.4,1.0
38,Stephen Curry,35,GSW,PG,74,74,2421,13.0,28.9,0.45,7.1,17.5,0.408,5.9,11.4,0.515,0.573,6.0,6.5,0.923,0.7,5.9,6.6,7.6,1.1,0.6,4.2,2.3,39.1,119.0,117,CPOY-1ASNBA3,curryst01,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,0.142,6.3,-1.1,5.2,4.4
39,Bam Adebayo,26,MIA,C,71,71,2416,10.9,21.0,0.521,0.3,0.9,0.357,10.6,20.1,0.528,0.529,6.0,8.0,0.755,3.3,11.9,15.2,5.7,1.7,1.4,3.3,3.3,28.2,115.0,109,DPOY-3ASDEF1,adebaba01,19.8,0.576,0.041,0.381,7.4,27.3,17.3,18.9,1.7,2.7,12.0,24.9,2.9,4.3,7.2,0.144,0.8,1.7,2.4,2.7
40,Chet Holmgren,21,OKC,C,82,82,2413,10.1,19.0,0.53,2.6,7.0,0.37,7.5,12.0,0.623,0.598,4.3,5.5,0.793,2.6,10.3,12.9,4.0,1.1,3.8,2.6,3.9,27.0,122.0,108,ROY-2,holmgch01,20.4,0.632,0.366,0.289,6.2,23.1,15.0,11.6,1.1,7.3,10.9,21.6,4.6,4.4,8.9,0.178,1.8,1.5,3.4,3.3
41,Brook Lopez,35,MIL,C,79,79,2411,7.3,15.0,0.485,2.9,8.1,0.366,4.3,7.0,0.621,0.583,2.2,2.7,0.821,2.3,5.8,8.2,2.5,0.9,3.8,1.6,3.8,19.7,121.0,114,,lopezbr01,14.8,0.608,0.535,0.177,5.4,13.0,9.3,7.1,0.9,6.7,8.8,16.0,3.1,2.8,5.9,0.117,0.2,0.8,1.0,1.8
42,Kentavious Caldwell-Pope,30,DEN,SG,76,76,2402,5.6,12.1,0.46,2.6,6.4,0.406,3.0,5.8,0.52,0.566,2.1,2.3,0.894,0.6,3.1,3.8,3.8,2.0,0.9,1.5,3.1,15.8,119.0,115,,caldwke01,10.7,0.602,0.525,0.193,1.5,6.8,4.2,9.5,2.0,1.5,10.5,12.9,2.2,2.6,4.8,0.096,-2.1,0.7,-1.4,0.4
43,Bogdan Bogdanović,31,ATL,SG,79,33,2401,9.4,22.0,0.428,4.8,12.8,0.374,4.6,9.2,0.503,0.537,3.0,3.3,0.921,1.1,4.4,5.4,4.9,1.9,0.5,2.2,3.6,26.6,116.0,120,6MOY-5,bogdabo01,14.7,0.569,0.583,0.149,2.3,10.3,6.2,14.9,1.9,1.0,8.7,22.3,2.8,1.2,3.9,0.079,0.9,-0.7,0.2,1.4
44,Brandon Miller,21,CHO,SF,74,68,2383,9.9,22.4,0.44,3.8,10.2,0.373,6.0,12.2,0.495,0.524,3.0,3.6,0.827,1.2,5.3,6.5,3.6,1.4,0.9,2.7,3.8,26.5,105.0,121,ROY-3,millebr02,13.0,0.552,0.455,0.16,2.7,12.4,7.4,11.6,1.4,1.6,10.2,23.9,-0.3,1.0,0.8,0.015,-0.9,-1.6,-2.6,-0.3
45,Harrison Barnes,31,SAC,PF,82,82,2381,7.1,14.9,0.474,3.0,7.9,0.387,4.0,7.1,0.571,0.576,3.2,4.0,0.801,1.4,3.7,5.1,2.0,1.1,0.2,1.2,2.0,20.4,122.0,119,,barneha02,11.9,0.611,0.526,0.268,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,3.1,1.5,4.7,0.094,-0.6,-1.2,-1.8,0.1
46,Derrick White,29,BOS,SG,73,73,2381,8.0,17.4,0.461,4.1,10.3,0.396,4.0,7.1,0.555,0.578,2.8,3.2,0.901,1.1,5.4,6.4,7.8,1.5,1.8,2.3,3.2,23.0,126.0,112,DPOY-8DEF2,whitede01,16.9,0.611,0.59,0.181,2.4,11.3,7.0,21.2,1.5,3.2,11.0,18.6,5.2,3.3,8.5,0.171,2.4,1.4,3.8,3.5
47,Tobias Harris,31,PHI,PF,70,70,2368,9.6,19.8,0.487,1.9,5.4,0.353,7.7,14.4,0.537,0.535,3.9,4.4,0.878,1.7,7.8,9.4,4.5,1.5,1.0,1.9,2.4,25.0,118.0,114,,harrito02,16.5,0.576,0.271,0.224,3.7,17.7,10.6,13.8,1.5,1.8,8.2,20.7,3.2,2.7,5.9,0.121,1.0,-0.1,0.9,1.7
48,Donte DiVincenzo,27,NYK,SG,81,63,2360,9.5,21.5,0.443,6.0,15.1,0.401,3.5,6.4,0.542,0.584,1.8,2.4,0.754,1.3,5.0,6.3,4.6,2.3,0.8,2.4,3.5,26.9,120.0,113,,divindo01,16.0,0.597,0.702,0.114,3.0,11.2,7.1,13.7,2.3,1.4,9.7,21.3,3.6,3.0,6.6,0.135,2.5,0.9,3.4,3.2
49,Jordan Poole,24,WAS,SG,78,66,2346,9.8,23.6,0.413,3.7,11.2,0.326,6.1,12.4,0.492,0.491,3.8,4.4,0.877,0.6,3.6,4.2,6.8,1.7,0.5,3.7,4.9,27.0,102.0,121,,poolejo01,12.1,0.529,0.476,0.185,1.4,8.4,4.8,21.4,1.7,0.9,12.8,26.4,-1.5,0.8,-0.6,-0.013,-2.0,-1.9,-3.9,-1.2
50,Jaylen Brown,27,BOS,SF,70,70,2343,13.2,26.5,0.499,3.1,8.6,0.354,10.2,17.8,0.57,0.557,4.4,6.3,0.703,1.8,6.4,8.2,5.3,1.8,0.8,3.5,3.9,34.0,113.0,112,AS,brownja02,18.6,0.58,0.326,0.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,2.7,3.2,5.9,0.121,0.9,-0.1,0.7,1.6
51,Malik Beasley,27,MIL,SG,79,77,2337,6.6,14.8,0.443,4.6,11.1,0.413,2.0,3.7,0.533,0.598,0.5,0.7,0.714,0.8,5.1,6.0,2.2,1.2,0.2,1.1,3.2,18.3,117.0,118,,beaslma01,10.3,0.603,0.751,0.048,2.0,11.4,6.8,6.1,1.2,0.3,6.8,14.6,1.9,1.6,3.5,0.073,-1.0,-0.8,-1.8,0.1
52,Franz Wagner,22,ORL,SF,72,72,2337,11.2,23.2,0.482,2.0,7.1,0.281,9.2,16.1,0.57,0.525,5.7,6.8,0.85,1.5,6.5,8.1,5.7,1.6,0.6,2.9,3.6,30.1,116.0,112,,wagnefr01,17.6,0.575,0.305,0.291,3.6,15.7,9.6,18.8,1.6,1.1,10.0,25.7,3.1,3.2,6.4,0.131,0.9,0.3,1.2,1.9
53,Kawhi Leonard,32,LAC,SF,68,68,2330,12.9,24.6,0.525,3.0,7.1,0.417,10.0,17.5,0.569,0.585,5.4,6.1,0.885,1.8,7.0,8.8,5.2,2.4,1.3,2.5,2.1,34.2,124.0,114,ASNBA2,leonaka01,23.2,0.626,0.289,0.246,4.2,15.6,10.1,16.9,2.4,2.3,8.5,26.5,6.0,2.9,8.9,0.184,4.8,0.6,5.5,4.4
54,Herbert Jones,25,NOP,SF,76,76,2321,6.2,12.4,0.498,2.4,5.8,0.418,3.8,6.7,0.568,0.595,2.9,3.3,0.867,1.6,4.2,5.7,4.2,2.2,1.3,2.0,4.7,17.7,124.0,113,DPOY-5DEF1,joneshe01,13.2,0.636,0.464,0.269,3.6,9.4,6.5,11.3,2.2,2.6,12.4,14.1,3.3,3.0,6.3,0.131,-0.9,1.5,0.6,1.6
55,Aaron Gordon,28,DEN,PF,73,73,2297,8.6,15.5,0.556,0.9,3.0,0.29,7.7,12.5,0.619,0.584,3.8,5.8,0.658,3.8,6.4,10.2,5.6,1.2,1.0,2.3,3.1,21.9,125.0,114,,gordoaa01,16.8,0.607,0.193,0.376,8.6,13.9,11.4,15.2,1.2,1.7,11.2,17.8,4.5,2.6,7.1,0.148,1.2,0.1,1.3,1.9
56,Klay Thompson,33,GSW,SF,77,63,2284,10.4,24.0,0.432,5.7,14.7,0.387,4.7,9.3,0.503,0.551,2.7,2.9,0.927,0.7,4.6,5.4,3.7,1.1,0.7,2.5,2.7,29.1,113.0,118,,thompkl01,13.9,0.576,0.611,0.121,1.7,10.2,6.0,11.2,1.1,1.4,8.9,24.2,1.8,1.7,3.6,0.075,1.1,-1.5,-0.4,0.9
57,Kyle Kuzma,28,WAS,PF,70,70,2281,12.5,26.9,0.463,3.1,9.2,0.336,9.4,17.7,0.53,0.521,3.8,4.9,0.775,1.3,8.2,9.5,6.1,0.8,1.0,3.9,3.1,31.8,103.0,120,,kuzmaky01,15.7,0.547,0.343,0.183,2.8,19.3,10.9,20.7,0.8,1.8,11.9,29.7,-1.0,1.1,0.2,0.004,0.5,-1.6,-1.1,0.5
58,Jrue Holiday,33,BOS,PG,69,69,2263,7.2,15.0,0.48,3.0,7.0,0.429,4.2,8.0,0.526,0.581,1.3,1.6,0.833,1.8,6.3,8.1,7.3,1.3,1.2,2.7,2.4,18.8,121.0,113,DPOY-6DEF2,holidjr01,14.4,0.597,0.467,0.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,3.3,3.0,6.3,0.133,1.0,1.1,2.1,2.4
59,Deni Avdija,23,WAS,SF,75,75,2257,8.4,16.6,0.506,1.8,4.9,0.374,6.6,11.8,0.56,0.56,4.2,5.7,0.74,1.7,9.4,11.2,5.9,1.2,0.7,3.3,3.8,22.8,112.0,119,,avdijde01,14.9,0.597,0.293,0.34,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,1.7,1.5,3.2,0.068,-0.7,-0.2,-0.9,0.6
