Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
62,Myles Turner,28,IND,C,72,72,2174,6.5,13.4,0.481,2.6,6.5,0.396,3.9,6.9,0.561,0.577,3.0,3.9,0.773,1.5,6.3,7.8,1.8,0.9,2.4,2.0,3.0,18.5,,turnemy01,16.1,0.612,0.486,0.293,4.7,19.4,12.1,7.1,1.2,6.0,11.8,20.7,1.8,2.9,4.7,0.104,0.0,0.4,0.4,1.3
63,Evan Mobley,23,CLE,PF,71,71,2167,8.4,15.1,0.557,1.4,3.8,0.37,7.0,11.2,0.621,0.604,3.7,5.1,0.725,2.7,8.2,10.9,3.8,1.0,1.9,2.4,2.3,21.9,MVP-10DPOY-1ASNBA2DEF1,mobleev01,22.3,0.633,0.254,0.337,8.4,24.0,16.5,15.1,1.4,4.7,12.2,23.2,5.3,3.8,9.0,0.2,3.1,1.5,4.6,3.6
64,Taurean Prince,30,MIL,SF,80,73,2166,3.9,8.5,0.457,2.4,5.6,0.439,1.5,3.0,0.492,0.6,0.6,0.8,0.813,0.6,4.2,4.8,2.6,1.3,0.2,1.4,2.7,10.9,,princta02,9.8,0.613,0.652,0.093,1.8,12.2,7.2,9.4,1.7,0.6,13.3,12.5,1.3,2.2,3.5,0.077,-2.0,0.3,-1.7,0.1
65,Stephon Castle,20,SAS,PG,81,47,2162,7.0,16.5,0.428,1.6,5.5,0.285,5.5,10.9,0.501,0.476,4.1,5.7,0.724,1.5,3.5,4.9,5.5,1.2,0.4,2.9,2.7,19.8,ROY-1,castlst01,13.7,0.522,0.337,0.348,4.4,10.3,7.4,22.8,1.7,0.9,13.4,26.0,0.1,1.0,1.1,0.025,-1.5,-1.7,-3.2,-0.6
66,Deni Avdija,24,POR,SF,72,54,2161,6.7,14.1,0.476,2.1,5.7,0.365,4.6,8.4,0.552,0.55,4.8,6.2,0.78,1.8,6.9,8.7,4.7,1.2,0.6,3.3,2.8,20.3,,avdijde01,17.7,0.605,0.405,0.441,5.4,21.2,13.1,19.9,1.6,1.5,16.3,23.2,3.1,2.5,5.6,0.124,1.5,0.6,2.1,2.2
67,Jaylen Brown,28,BOS,SF,63,63,2158,8.6,18.7,0.463,1.9,6.0,0.324,6.7,12.7,0.529,0.515,4.1,5.4,0.764,1.4,4.8,6.1,4.8,1.2,0.3,2.7,2.6,23.3,AS,brownja02,17.8,0.555,0.32,0.288,4.1,14.4,9.3,21.4,1.7,0.8,11.4,28.9,2.3,2.9,5.2,0.115,0.4,-0.4,0.0,1.1
68,Tim Hardaway Jr.,32,DET,SG,77,77,2153,4.6,11.4,0.406,2.8,7.6,0.368,1.8,3.7,0.484,0.529,2.1,2.4,0.855,0.3,2.8,3.1,2.1,0.6,0.1,0.8,1.6,14.1,,hardati02,9.8,0.567,0.672,0.213,0.9,8.4,4.7,7.6,0.8,0.3,6.1,15.5,2.1,1.4,3.5,0.077,-1.1,-0.9,-2.1,0.0
69,Bennedict Mathurin,22,IND,SF,72,49,2149,6.6,14.3,0.458,1.6,4.8,0.34,4.9,9.5,0.519,0.516,4.6,5.6,0.831,1.5,5.0,6.4,2.3,0.8,0.4,2.3,2.7,19.4,,mathube01,13.6,0.579,0.338,0.389,4.6,15.2,9.9,8.8,1.1,1.0,11.9,22.8,1.3,1.8,3.0,0.068,-1.3,-1.5,-2.9,-0.5
70,Spencer Dinwiddie,31,DAL,PG,79,30,2136,4.8,11.5,0.416,1.8,5.5,0.334,2.9,6.0,0.492,0.496,3.3,4.1,0.802,0.3,3.2,3.5,5.9,1.2,0.3,1.7,2.0,14.7,,dinwisp01,13.0,0.553,0.478,0.356,0.9,9.5,5.3,22.1,1.6,0.7,11.4,17.9,2.4,1.2,3.7,0.082,-0.9,-0.7,-1.6,0.2
71,Scottie Barnes,23,TOR,PF,65,65,2134,8.0,17.9,0.446,1.3,4.7,0.271,6.7,13.2,0.508,0.482,3.8,5.1,0.755,1.8,6.6,8.5,6.4,1.6,1.1,3.1,1.9,21.1,,barnesc01,17.8,0.523,0.263,0.284,5.3,20.2,12.6,27.7,2.1,2.8,13.4,27.0,0.6,2.9,3.5,0.078,1.5,0.9,2.4,2.3
72,Max Christie,21,2TM,SG,78,36,2127,4.3,10.0,0.427,1.9,5.3,0.366,2.3,4.7,0.496,0.525,2.2,2.6,0.855,0.6,3.7,4.4,2.5,1.1,0.5,1.5,1.9,12.7,,chrisma02,10.4,0.57,0.532,0.258,2.0,11.2,6.7,9.2,1.5,1.3,11.8,15.2,1.1,1.6,2.7,0.06,-2.1,-0.5,-2.5,-0.3
72,Max Christie,21,LAL,SG,46,25,1154,4.0,9.0,0.444,1.9,5.1,0.368,2.1,3.9,0.544,0.549,2.3,2.7,0.851,0.8,3.1,3.8,2.1,1.1,0.7,1.2,2.3,12.2,,chrisma02,10.6,0.598,0.566,0.302,2.5,9.3,6.0,7.7,1.5,1.7,10.7,13.9,1.0,0.9,2.0,0.081,-1.8,0.0,-1.8,0.0
72,Max Christie,21,DAL,SG,32,11,973,4.6,11.2,0.411,2.0,5.6,0.364,2.6,5.6,0.457,0.502,2.1,2.4,0.862,0.5,4.5,5.0,3.0,1.1,0.4,1.8,1.6,13.3,,chrisma02,10.2,0.543,0.5,0.215,1.5,13.4,7.6,11.0,1.4,0.9,12.9,16.8,0.0,0.7,0.7,0.035,-2.4,-1.0,-3.4,-0.3
73,Josh Giddey,22,CHI,PG,70,69,2117,6.3,13.6,0.465,1.8,4.7,0.378,4.5,8.8,0.512,0.531,3.0,3.8,0.781,2.2,7.5,9.6,8.6,1.4,0.8,3.4,2.1,17.4,,giddejo01,18.1,0.57,0.348,0.281,6.4,21.4,14.0,32.9,1.9,1.8,18.4,21.7,2.8,2.5,5.3,0.121,1.9,1.1,3.0,2.7
74,Fred VanVleet,30,HOU,PG,60,60,2111,4.9,12.9,0.378,2.7,7.9,0.345,2.2,5.1,0.43,0.483,1.9,2.3,0.81,0.5,3.2,3.8,5.7,1.6,0.4,1.5,2.4,14.4,,vanvlfr01,12.8,0.515,0.607,0.181,1.6,9.7,5.6,21.2,2.2,1.1,9.6,17.7,2.4,2.8,5.2,0.119,-0.4,1.3,0.9,1.5
75,Keyonte George,21,UTA,PG,67,35,2109,6.1,15.7,0.391,3.0,8.7,0.343,3.2,7.0,0.449,0.485,4.0,4.9,0.818,0.4,3.9,4.3,6.4,0.8,0.2,3.1,1.9,19.2,,georgke01,12.9,0.539,0.552,0.31,1.3,11.5,6.5,26.9,1.0,0.4,14.9,24.3,0.9,0.1,1.1,0.024,-0.2,-2.5,-2.7,-0.3
76,Dennis Schröder,31,3TM,PG,75,49,2105,5.7,14.1,0.406,2.2,6.3,0.342,3.6,7.8,0.458,0.483,3.1,3.7,0.838,0.5,2.9,3.4,6.9,1.1,0.2,2.4,3.1,16.8,,schrode01,12.7,0.531,0.449,0.261,1.4,9.2,5.2,28.7,1.5,0.6,13.3,21.6,1.5,1.7,3.2,0.073,-1.3,-0.9,-2.2,-0.1
76,Dennis Schröder,31,BRK,PG,23,23,772,6.9,15.2,0.452,2.7,7.0,0.387,4.2,8.2,0.509,0.542,3.4,3.8,0.889,0.2,3.0,3.2,7.1,1.2,0.2,2.8,2.6,19.8,,schrode01,16.0,0.588,0.462,0.249,0.6,9.9,5.0,33.4,1.7,0.5,14.1,23.8,1.1,0.5,1.6,0.099,1.1,-1.1,0.0,0.4
76,Dennis Schröder,31,GSW,SG,24,18,628,5.4,14.4,0.375,2.1,6.6,0.322,3.3,7.8,0.419,0.448,1.7,2.2,0.744,0.6,2.6,3.2,6.0,1.4,0.2,2.8,3.8,14.6,,schrode01,8.4,0.474,0.458,0.155,1.7,8.1,4.8,24.0,1.9,0.5,15.2,21.2,-0.5,0.7,0.2,0.012,-4.6,-0.6,-5.2,-0.5
76,Dennis Schröder,31,DET,PG,28,8,705,4.9,12.8,0.378,1.6,5.4,0.302,3.2,7.4,0.434,0.442,4.1,4.9,0.833,0.7,3.1,3.8,7.5,0.8,0.3,1.8,2.9,15.4,,schrode01,12.9,0.515,0.422,0.382,2.1,9.5,5.8,27.8,1.0,0.7,10.7,19.6,0.9,0.5,1.5,0.1,-0.9,-1.2,-2.1,0.0
77,Damian Lillard,34,MIL,PG,58,58,2093,7.6,17.1,0.448,3.4,9.0,0.376,4.2,8.0,0.528,0.547,6.2,6.8,0.921,0.5,4.2,4.7,7.1,1.2,0.2,2.8,1.7,24.9,AS,lillada01,21.3,0.621,0.528,0.396,1.6,12.1,7.1,29.7,1.6,0.4,12.2,27.8,5.6,2.0,7.6,0.175,4.7,-0.6,4.0,3.2
78,Russell Westbrook,36,DEN,PG,75,36,2092,6.4,14.3,0.449,1.6,5.0,0.323,4.8,9.3,0.517,0.505,2.7,4.0,0.661,1.8,4.6,6.4,7.9,1.8,0.6,4.2,3.2,17.1,6MOY-7,westbru01,14.3,0.532,0.35,0.28,5.6,13.4,9.7,28.8,2.4,1.6,20.6,23.8,-0.1,2.1,1.9,0.045,-0.9,-0.2,-1.1,0.5
79,Kelly Oubre Jr.,29,PHI,SF,60,57,2078,6.0,12.8,0.47,1.2,4.2,0.293,4.8,8.6,0.555,0.518,2.4,3.2,0.751,1.7,4.7,6.4,1.9,1.6,0.5,1.4,3.1,15.7,,oubreke01,13.5,0.551,0.327,0.25,5.1,15.4,10.0,7.9,2.2,1.4,8.9,18.9,1.2,1.4,2.6,0.061,-1.7,-0.6,-2.3,-0.1
80,Nickeil Alexander-Walker,26,MIN,SG,82,10,2073,4.7,10.7,0.438,2.4,6.4,0.381,2.2,4.3,0.524,0.553,1.6,2.0,0.78,0.9,3.7,4.6,3.9,0.9,0.6,1.7,2.4,13.4,6MOY-6,alexani01,11.6,0.579,0.601,0.192,2.9,11.1,7.1,15.0,1.2,1.5,12.9,16.0,2.0,2.3,4.3,0.099,-0.8,0.4,-0.4,0.8
81,Luguentz Dort,25,OKC,SF,71,71,2073,4.5,10.3,0.435,3.0,7.2,0.412,1.5,3.1,0.489,0.578,0.6,0.8,0.717,1.5,3.5,5.1,2.0,1.4,0.7,0.9,3.6,12.5,DPOY-4DEF1,dortlu01,11.3,0.586,0.696,0.078,4.7,10.3,7.6,6.9,1.8,1.9,7.7,13.6,2.4,3.2,5.6,0.129,-0.6,0.8,0.2,1.2
82,Onyeka Okongwu,24,ATL,C,74,40,2064,6.8,11.9,0.567,0.8,2.6,0.324,5.9,9.3,0.634,0.602,2.9,3.8,0.759,3.8,7.7,11.5,2.9,1.2,1.2,1.6,3.4,17.2,,okongon01,19.0,0.634,0.216,0.316,11.4,24.0,17.5,11.4,1.6,3.0,10.4,17.3,4.9,2.3,7.2,0.168,1.2,0.2,1.3,1.7
83,Malik Monk,26,SAC,SG,65,45,2054,7.2,16.5,0.439,2.4,7.5,0.325,4.8,9.0,0.534,0.513,2.7,3.1,0.865,0.5,3.8,4.3,6.3,1.1,0.7,2.8,2.8,19.6,,monkma01,15.0,0.549,0.456,0.19,1.6,11.7,6.7,25.7,1.5,1.8,13.5,24.6,1.3,1.4,2.8,0.065,0.3,-1.1,-0.8,0.6
84,Jaylen Wells,21,MEM,SG,79,74,2043,5.1,11.9,0.425,2.4,6.9,0.352,2.6,5.0,0.525,0.527,2.0,2.4,0.822,1.5,3.2,4.7,2.4,0.8,0.1,1.2,2.6,14.5,ROY-3,wellsja01,10.5,0.56,0.58,0.2,4.6,9.3,6.9,8.4,1.0,0.4,8.6,15.9,2.1,1.4,3.5,0.083,-1.2,-1.0,-2.2,-0.1
85,Jalen Duren,21,DET,C,78,78,2034,6.7,9.7,0.692,0.0,0.0,,6.7,9.7,0.692,0.692,2.9,4.3,0.669,4.9,9.4,14.3,3.7,1.0,1.6,2.4,4.4,16.2,,durenja01,21.4,0.703,0.0,0.443,15.2,28.7,22.0,14.7,1.3,4.2,17.2,16.4,5.9,3.4,9.2,0.218,1.6,1.5,3.1,2.7
86,Jalen Wilson,24,BRK,PF,79,22,2031,4.4,11.0,0.397,2.2,6.4,0.337,2.2,4.6,0.481,0.495,2.4,2.9,0.818,1.3,3.5,4.8,2.6,0.7,0.1,1.4,2.9,13.3,,wilsoja03,9.5,0.541,0.584,0.266,4.0,11.4,7.5,10.8,1.0,0.2,10.2,16.6,0.9,1.0,1.9,0.046,-2.6,-1.3,-3.9,-1.0
87,Miles Bridges,26,CHO,PF,64,64,2029,8.3,19.3,0.431,2.5,8.0,0.313,5.8,11.3,0.513,0.495,3.9,4.5,0.87,1.3,7.3,8.5,4.4,0.8,0.8,2.4,1.7,23.1,,bridgmi02,17.7,0.541,0.413,0.233,3.7,21.9,12.6,21.7,1.1,2.2,10.2,28.0,1.3,1.8,3.2,0.075,2.3,-0.5,1.8,2.0
88,Davion Mitchell,26,2TM,PG,74,37,2027,4.0,8.5,0.468,1.5,3.7,0.398,2.5,4.7,0.525,0.557,1.0,1.5,0.69,0.6,2.3,3.0,6.4,1.3,0.3,2.3,3.3,10.4,,mitchda01,10.2,0.573,0.443,0.176,1.9,7.1,4.5,24.2,1.7,0.8,20.0,13.6,1.3,1.6,3.0,0.07,-2.8,0.2,-2.6,-0.3
88,Davion Mitchell,26,TOR,PG,44,22,1080,3.5,8.1,0.434,1.4,3.9,0.359,2.1,4.2,0.504,0.52,0.8,1.2,0.676,0.5,2.3,2.8,6.8,1.0,0.3,2.6,3.9,9.3,,mitchda01,7.9,0.536,0.48,0.152,1.6,7.0,4.2,24.6,1.4,0.7,23.1,13.1,0.0,0.7,0.7,0.031,-4.0,-0.3,-4.3,-0.6
88,Davion Mitchell,26,MIA,PG,30,15,947,4.4,8.8,0.504,1.6,3.6,0.447,2.9,5.2,0.543,0.595,1.3,1.8,0.702,0.7,2.4,3.1,6.1,1.6,0.3,1.9,2.6,11.7,,mitchda01,12.9,0.611,0.405,0.203,2.2,7.3,4.8,23.8,2.2,0.8,16.5,14.2,1.3,1.0,2.3,0.114,-1.5,0.8,-0.6,0.3
89,Franz Wagner,23,ORL,SF,60,60,2023,9.6,20.7,0.463,1.9,6.3,0.295,7.7,14.4,0.535,0.507,4.8,5.5,0.871,1.0,5.1,6.1,5.1,1.3,0.4,2.5,2.6,25.8,,wagnefr01,20.1,0.558,0.303,0.268,3.0,17.1,9.7,26.6,1.9,1.0,9.6,31.0,2.6,3.1,5.6,0.133,2.6,0.5,3.1,2.6
90,Quentin Grimes,24,2TM,SG,75,37,2013,6.9,14.7,0.467,2.9,7.5,0.385,4.0,7.2,0.552,0.565,2.9,3.8,0.757,1.1,4.7,5.8,4.1,1.3,0.4,2.5,2.5,19.5,,grimequ01,15.9,0.595,0.512,0.26,3.2,14.7,8.9,17.7,1.8,1.0,13.3,22.8,2.0,1.4,3.4,0.081,1.3,-0.9,0.4,1.2
90,Quentin Grimes,24,DAL,SG,47,12,1070,5.7,12.3,0.463,2.7,6.8,0.398,3.0,5.5,0.543,0.573,2.1,2.7,0.765,1.0,5.0,6.0,3.4,1.1,0.3,2.1,2.6,16.1,,grimequ01,13.3,0.599,0.551,0.222,3.1,14.9,9.1,13.2,1.4,0.8,13.2,18.5,1.0,0.8,1.7,0.078,0.1,-0.4,-0.3,0.5
90,Quentin Grimes,24,PHI,SG,28,25,943,8.2,17.5,0.469,3.1,8.4,0.373,5.1,9.1,0.559,0.559,3.8,5.1,0.752,1.1,4.4,5.5,4.8,1.6,0.5,3.1,2.3,23.4,,grimequ01,18.8,0.592,0.48,0.29,3.3,14.5,8.7,22.7,2.2,1.2,13.4,27.5,1.0,0.6,1.6,0.083,2.7,-1.5,1.2,0.8
91,Jordan Poole,25,WAS,SG,68,68,2001,8.2,19.0,0.432,4.2,11.2,0.378,4.0,7.8,0.51,0.544,4.4,4.9,0.883,0.6,3.1,3.7,5.5,1.5,0.5,3.7,3.6,25.0,,poolejo01,16.6,0.591,0.588,0.259,1.6,9.0,5.3,25.6,2.0,1.2,14.8,29.0,1.2,0.8,2.0,0.047,2.0,-1.6,0.4,1.2
92,Draymond Green,34,GSW,PF,68,66,1983,3.9,9.2,0.424,1.5,4.5,0.325,2.5,4.8,0.517,0.503,1.8,2.7,0.687,1.3,6.2,7.5,7.0,1.8,1.3,3.2,4.0,11.1,DPOY-3DEF1,greendr01,12.4,0.534,0.483,0.289,3.9,19.0,11.2,26.2,2.4,3.4,23.3,15.9,0.3,3.4,3.7,0.088,-2.3,2.8,0.5,1.3
93,Devin Vassell,24,SAS,SG,64,53,1983,7.2,16.1,0.443,2.9,7.8,0.368,4.3,8.4,0.513,0.532,1.7,2.2,0.792,0.6,4.0,4.6,3.3,1.5,0.6,1.6,2.0,18.9,,vassede01,14.2,0.553,0.483,0.135,1.8,12.0,6.9,13.8,2.0,1.5,8.5,22.1,0.9,1.3,2.2,0.054,-0.3,-0.8,-1.1,0.4
94,Klay Thompson,34,DAL,SF,72,72,1965,6.6,16.1,0.412,4.0,10.1,0.391,2.7,5.9,0.448,0.535,1.2,1.4,0.905,0.8,3.7,4.5,2.7,0.9,0.5,1.6,1.5,18.4,,thompkl01,12.9,0.552,0.631,0.084,2.5,11.0,6.8,10.7,1.2,1.3,8.8,21.8,0.7,1.1,1.8,0.045,0.7,-1.6,-1.0,0.5
95,Tyrese Maxey,24,PHI,PG,52,52,1960,8.8,20.0,0.437,3.0,8.8,0.337,5.8,11.3,0.515,0.511,4.7,5.3,0.879,0.3,2.9,3.2,5.8,1.7,0.4,2.3,2.1,25.1,CPOY-10,maxeyty01,19.5,0.562,0.438,0.265,0.8,9.6,5.0,28.0,2.3,1.1,9.2,29.8,2.9,1.0,3.8,0.094,3.2,-1.1,2.0,2.0
96,Norman Powell,31,LAC,SG,60,60,1958,8.4,17.4,0.484,3.3,7.9,0.418,5.1,9.5,0.538,0.578,3.9,4.9,0.804,0.4,3.1,3.5,2.3,1.3,0.2,2.0,2.1,24.0,,powelno01,17.5,0.615,0.453,0.28,1.2,9.6,5.5,10.2,1.8,0.5,9.2,26.1,2.9,2.3,5.3,0.129,1.7,-0.2,1.5,1.8
97,Yves Missi,20,NOP,C,73,67,1956,5.0,9.1,0.547,0.0,0.0,0.0,5.0,9.0,0.548,0.547,2.3,3.8,0.623,4.7,6.4,11.1,1.8,0.7,1.8,1.5,2.7,12.2,,missiyv01,15.4,0.572,0.002,0.415,13.7,19.7,16.6,7.2,0.9,4.8,12.4,14.3,2.5,1.1,3.6,0.089,-1.6,-1.4,-3.0,-0.5
98,Keon Ellis,25,SAC,SG,80,28,1948,4.2,8.6,0.489,2.6,5.9,0.433,1.6,2.6,0.615,0.639,1.3,1.6,0.849,1.1,2.8,3.9,2.2,2.2,1.2,1.3,3.3,12.3,,elliske01,13.5,0.664,0.692,0.185,3.4,8.8,6.1,8.0,3.0,3.2,12.4,12.7,2.7,2.2,5.0,0.122,-0.1,2.0,1.9,1.9
99,Bilal Coulibaly,20,WAS,SF,59,59,1948,4.9,11.5,0.421,1.2,4.1,0.281,3.7,7.4,0.5,0.472,2.6,3.4,0.746,1.7,3.8,5.4,3.7,1.4,0.8,2.3,2.6,13.4,,coulibi01,10.8,0.515,0.359,0.296,4.8,10.9,7.8,14.9,1.9,1.9,15.1,17.9,-0.6,0.9,0.3,0.008,-3.0,-0.7,-3.7,-0.8
100,Kyle Kuzma,29,2TM,PF,65,62,1936,6.9,15.8,0.436,1.8,5.8,0.307,5.1,9.9,0.512,0.493,2.4,3.8,0.634,1.0,5.9,6.9,2.8,0.7,0.4,2.7,2.2,17.9,,kuzmaky01,10.6,0.514,0.369,0.238,3.0,17.1,10.2,12.1,0.9,0.9,13.5,24.0,-2.3,1.3,-0.9,-0.024,-2.9,-2.0,-4.9,-1.4
100,Kyle Kuzma,29,WAS,PF,32,30,887,7.8,18.5,0.42,1.8,6.5,0.281,5.9,12.0,0.495,0.469,2.4,4.0,0.602,1.1,6.4,7.5,3.2,0.8,0.3,3.0,2.1,19.7,,kuzmaky01,10.6,0.488,0.352,0.215,3.1,18.6,10.8,14.7,1.1,0.7,12.8,27.1,-1.7,0.4,-1.3,-0.068,-3.0,-2.3,-5.2,-0.7
100,Kyle Kuzma,29,MIL,PF,33,32,1049,6.1,13.5,0.455,1.8,5.3,0.333,4.4,8.2,0.533,0.52,2.4,3.6,0.663,0.9,5.4,6.3,2.5,0.5,0.4,2.5,2.3,16.4,,kuzmaky01,10.5,0.545,0.389,0.265,2.9,15.7,9.6,9.9,0.7,1.1,14.3,21.4,-0.6,0.9,0.3,0.014,-2.9,-1.8,-4.7,-0.7
101,Julian Champagnie,23,SAS,SF,82,29,1932,5.1,12.4,0.415,3.3,8.9,0.371,1.8,3.4,0.53,0.549,1.6,1.8,0.904,1.2,4.7,5.9,2.1,1.1,0.7,1.4,2.1,15.2,,champju02,12.2,0.577,0.722,0.141,3.7,13.9,8.8,7.9,1.5,1.6,9.5,17.2,1.3,1.2,2.5,0.062,-0.3,-0.9,-1.3,0.4
102,Keon Johnson,22,BRK,SG,79,56,1925,5.7,14.6,0.389,2.4,7.5,0.314,3.3,7.1,0.468,0.47,2.0,2.6,0.77,1.2,4.4,5.6,3.3,1.5,0.6,2.2,3.9,15.7,,johnske07,10.4,0.499,0.515,0.178,3.5,14.5,8.8,14.6,2.1,1.5,12.1,21.7,-1.3,1.9,0.5,0.014,-3.1,-0.1,-3.3,-0.6
103,Naji Marshall,27,DAL,SF,69,31,1919,6.8,13.4,0.508,1.1,4.1,0.275,5.7,9.3,0.611,0.551,2.4,3.0,0.813,1.4,4.7,6.2,3.9,1.3,0.2,2.1,2.0,17.1,,marshna01,15.1,0.584,0.306,0.225,4.4,14.0,9.3,15.8,1.8,0.5,12.5,20.0,2.0,1.5,3.5,0.087,-0.3,-0.5,-0.8,0.6
104,Jrue Holiday,34,BOS,PG,62,62,1896,4.8,10.9,0.443,2.1,5.8,0.353,2.8,5.1,0.547,0.538,1.3,1.5,0.909,1.4,3.6,5.0,4.5,1.3,0.5,1.5,1.9,13.0,,holidjr01,13.5,0.565,0.534,0.134,4.4,10.8,7.6,17.3,1.7,1.3,11.3,15.8,2.8,2.4,5.1,0.13,-0.3,1.0,0.7,1.3
105,Guerschon Yabusele,29,PHI,C,70,43,1895,5.4,10.7,0.501,2.0,5.2,0.38,3.4,5.5,0.616,0.593,1.9,2.6,0.725,2.5,5.0,7.5,2.8,1.1,0.5,1.7,3.1,14.6,,yabusgu01,14.7,0.616,0.487,0.245,7.7,16.3,11.8,11.6,1.5,1.2,12.2,16.3,2.9,1.0,3.9,0.099,0.1,-1.1,-1.0,0.5
106,Gary Trent Jr.,26,MIL,SG,74,9,1893,5.4,12.5,0.431,3.4,8.2,0.416,2.0,4.3,0.46,0.568,1.5,1.7,0.848,0.4,2.8,3.2,1.7,1.4,0.1,0.8,2.4,15.7,,trentga02,11.7,0.591,0.659,0.14,1.2,8.2,4.8,6.4,1.8,0.2,5.7,17.1,1.6,1.7,3.3,0.084,-1.2,-0.4,-1.6,0.2
107,Anthony Black,21,ORL,PG,78,10,1887,5.0,11.8,0.423,1.2,3.7,0.318,3.8,8.1,0.471,0.473,2.9,3.8,0.761,1.0,3.4,4.4,4.6,1.6,0.9,2.7,3.2,14.0,,blackan01,11.6,0.521,0.315,0.318,3.0,11.4,7.0,19.4,2.3,2.4,16.4,19.6,-0.6,3.0,2.4,0.061,-3.1,1.2,-1.9,0.0
108,Josh Green,24,CHO,SG,68,67,1887,3.4,8.0,0.428,1.9,4.7,0.391,1.6,3.3,0.48,0.543,0.9,1.4,0.681,1.1,2.2,3.3,2.1,1.4,0.3,1.3,3.1,9.7,,greenjo02,7.8,0.559,0.589,0.171,3.1,6.7,4.9,8.2,1.9,0.8,13.4,11.8,0.4,1.0,1.5,0.037,-4.5,0.2,-4.3,-1.1
109,Nic Claxton,25,BRK,C,70,62,1882,6.1,10.9,0.563,0.1,0.4,0.238,6.0,10.5,0.576,0.568,1.5,2.9,0.513,3.0,6.8,9.9,3.0,1.2,1.9,1.7,2.9,13.8,,claxtni01,16.5,0.569,0.037,0.271,9.0,22.7,15.5,13.7,1.6,5.3,12.0,16.8,1.8,2.5,4.3,0.11,-1.1,1.5,0.4,1.1
110,Andrew Nembhard,25,IND,SG,65,65,1881,4.7,10.3,0.458,1.0,3.3,0.291,3.8,7.0,0.538,0.506,2.1,2.6,0.794,0.7,3.5,4.1,6.2,1.5,0.2,2.1,2.9,12.5,,nembhan01,11.7,0.545,0.325,0.252,2.0,10.7,6.4,22.5,2.0,0.5,15.8,16.3,1.1,1.7,2.8,0.071,-2.6,0.3,-2.3,-0.1
111,Cason Wallace,21,OKC,SG,68,43,1876,4.5,9.4,0.474,1.4,4.0,0.356,3.0,5.4,0.562,0.55,0.6,0.7,0.811,1.4,3.0,4.4,3.3,2.3,0.7,1.1,2.8,10.9,,wallaca01,12.3,0.562,0.425,0.076,4.1,8.8,6.5,11.5,3.1,1.9,10.5,12.8,1.8,3.4,5.2,0.133,-1.5,2.6,1.0,1.5
112,Derrick Jones Jr.,27,LAC,SF,77,55,1873,6.0,11.3,0.526,1.5,4.2,0.356,4.5,7.1,0.627,0.593,1.6,2.3,0.703,1.8,3.3,5.1,1.2,1.5,0.6,1.3,2.9,15.0,,jonesde02,13.5,0.609,0.372,0.2,5.7,10.1,8.0,4.6,2.1,1.7,9.3,16.5,2.1,2.6,4.7,0.12,-1.0,0.7,-0.3,0.8
113,Rui Hachimura,26,LAL,PF,59,57,1869,5.6,11.1,0.509,2.0,4.8,0.413,3.7,6.3,0.581,0.597,1.7,2.2,0.77,1.5,4.2,5.7,1.6,0.9,0.5,0.9,2.0,14.9,,hachiru01,13.6,0.619,0.429,0.196,4.9,12.6,8.9,6.4,1.2,1.3,7.3,15.8,2.8,1.5,4.3,0.11,-0.1,-0.6,-0.7,0.6
114,RJ Barrett,24,TOR,SF,58,58,1869,8.9,18.9,0.468,2.1,5.9,0.35,6.8,13.0,0.522,0.523,3.8,6.0,0.63,1.2,5.9,7.0,6.0,0.9,0.3,3.2,2.6,23.6,,barrerj01,16.5,0.547,0.312,0.317,3.4,17.9,10.5,27.3,1.2,0.9,12.9,28.7,0.6,1.7,2.4,0.061,1.2,-0.7,0.6,1.2
115,Buddy Hield,32,GSW,SG,82,22,1863,6.3,15.2,0.417,3.9,10.6,0.37,2.4,4.6,0.527,0.546,1.0,1.2,0.828,1.0,4.1,5.1,2.6,1.3,0.4,1.8,2.6,17.6,,hieldbu01,12.3,0.56,0.698,0.081,2.9,12.7,7.6,10.7,1.8,1.2,10.1,20.5,0.6,2.2,2.8,0.073,-0.7,-0.3,-1.0,0.5
116,Trey Murphy III,24,NOP,SF,53,51,1854,7.4,16.3,0.454,3.1,8.5,0.361,4.3,7.8,0.556,0.548,4.0,4.5,0.887,0.9,4.3,5.2,3.7,1.1,0.8,2.0,2.2,21.8,,murphtr02,17.3,0.598,0.522,0.274,2.7,13.2,7.8,15.9,1.5,2.0,9.9,23.7,3.0,0.5,3.5,0.091,2.1,-1.4,0.8,1.3
117,Zaccharie Risacher,19,ATL,SF,75,73,1843,7.0,15.2,0.458,2.4,6.7,0.355,4.6,8.5,0.54,0.537,2.1,2.9,0.711,1.7,3.6,5.2,1.8,1.0,0.7,1.8,2.9,18.4,ROY-2,risacza01,12.2,0.558,0.442,0.191,5.0,11.1,8.0,7.1,1.3,1.8,9.8,20.9,0.6,1.1,1.8,0.046,-1.7,-1.8,-3.5,-0.7
