Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Dist.,0-3,3-10,10-16,16-3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,Att.,Md.
61,Devonte' Graham,26,NOP,PG,76,63,2162,4.9,13.6,0.363,3.2,9.4,0.341,1.7,4.2,0.413,0.481,2.0,2.3,0.843,0.6,2.3,2.9,5.3,1.2,0.2,1.7,1.6,15.0,,grahade01,12.1,0.514,0.691,0.172,1.9,7.3,4.5,21.0,1.6,0.5,10.7,19.5,1.6,1.2,2.8,0.062,0.2,-1.2,-1.0,0.5,20.8,0.081,0.067,0.054,0.098,0.413,0.621,0.291,0.409,0.325,0.341,0.298,0.734,0.001,1,0.13,3,1
62,Tyler Herro,22,MIA,SG,66,10,2151,8.4,18.8,0.447,2.9,7.3,0.399,5.5,11.4,0.477,0.525,3.2,3.7,0.868,0.5,5.0,5.5,4.4,0.7,0.1,2.9,1.6,22.9,6MOY-1,herroty01,16.2,0.561,0.391,0.195,1.7,15.4,8.7,20.9,1.0,0.4,12.5,28.8,1.3,2.4,3.8,0.084,1.6,-0.9,0.7,1.5,15.7,0.136,0.191,0.15,0.122,0.477,0.686,0.407,0.452,0.394,0.399,0.328,0.709,0.014,14,0.205,5,0
63,CJ McCollum,30,2TM,PG,62,62,2145,9.0,19.5,0.46,3.1,7.9,0.388,5.9,11.7,0.509,0.539,1.9,2.9,0.682,0.9,3.6,4.5,5.3,1.2,0.4,2.1,2.0,23.0,,mccolcj01,18.3,0.553,0.403,0.146,2.6,11.5,6.9,26.1,1.6,1.0,9.3,27.5,2.6,1.0,3.6,0.081,3.2,-1.3,1.9,2.1,15.9,0.124,0.18,0.16,0.124,0.509,0.646,0.445,0.505,0.486,0.388,0.254,0.637,0.003,4,0.122,0,0
63,CJ McCollum,30,POR,SG,36,36,1267,8.2,18.9,0.436,3.2,8.2,0.384,5.1,10.7,0.476,0.52,1.4,1.9,0.706,1.0,3.4,4.3,4.6,1.0,0.6,2.0,2.2,21.0,,mccolcj01,15.8,0.532,0.435,0.102,2.8,10.7,6.6,22.5,1.4,1.6,9.2,26.1,0.7,0.3,1.0,0.04,1.8,-1.7,0.1,0.7,16.2,0.12,0.159,0.15,0.117,0.476,0.613,0.415,0.49,0.423,0.384,0.223,0.622,0.003,2,0.152,0,0
63,CJ McCollum,30,NOP,PG,26,26,878,10.1,20.5,0.493,2.9,7.4,0.394,7.2,13.1,0.549,0.564,2.8,4.2,0.667,0.8,4.0,4.8,6.2,1.4,0.0,2.3,1.8,25.9,,mccolcj01,21.9,0.58,0.361,0.204,2.3,12.5,7.3,31.3,1.9,0.1,9.5,29.4,1.9,0.7,2.6,0.14,5.3,-0.7,4.5,1.5,15.6,0.128,0.206,0.172,0.132,0.549,0.688,0.476,0.523,0.561,0.394,0.286,0.662,0.004,2,0.072,0,0
64,Jordan Clarkson,29,UTA,SG,79,1,2141,7.8,18.7,0.419,3.2,10.0,0.318,4.6,8.7,0.535,0.504,2.4,2.9,0.828,1.1,3.5,4.6,3.3,1.1,0.3,2.2,2.5,21.3,6MOY-4,clarkjo01,14.9,0.532,0.536,0.156,3.5,10.2,7.0,14.5,1.5,0.7,9.8,26.8,1.5,2.0,3.5,0.079,0.5,-1.2,-0.6,0.7,16.9,0.099,0.272,0.075,0.018,0.535,0.627,0.515,0.554,0.25,0.318,0.221,0.674,0.012,8,0.193,2,0
65,Khris Middleton,30,MIL,SF,66,66,2141,7.6,17.2,0.443,2.7,7.3,0.373,4.9,9.9,0.494,0.522,4.4,4.9,0.89,0.7,5.3,6.0,6.0,1.3,0.3,3.2,2.7,22.3,AS,middlkh01,18.1,0.577,0.425,0.285,2.1,15.3,8.8,25.5,1.7,0.8,14.2,26.7,3.2,2.2,5.3,0.119,1.9,-0.3,1.6,1.9,17.0,0.103,0.137,0.187,0.14,0.494,0.733,0.414,0.497,0.385,0.373,0.328,0.63,0.008,6,0.106,0,0
66,Malik Monk,23,LAL,SG,76,37,2139,6.6,13.9,0.473,2.9,7.4,0.391,3.7,6.5,0.568,0.578,1.6,2.0,0.795,0.6,3.7,4.3,3.7,1.0,0.5,2.1,2.3,17.6,,monkma01,14.4,0.597,0.535,0.142,1.9,11.0,6.4,15.2,1.4,1.2,12.2,20.1,2.3,1.4,3.6,0.081,0.5,-1.0,-0.5,0.8,16.1,0.225,0.162,0.034,0.04,0.568,0.72,0.448,0.393,0.303,0.391,0.537,0.827,0.067,52,0.17,0,0
67,Chris Paul,36,PHO,PG,65,65,2139,6.1,12.4,0.493,1.1,3.3,0.317,5.0,9.0,0.559,0.536,2.8,3.4,0.837,0.4,4.4,4.8,11.8,2.0,0.3,2.6,2.3,16.1,MVP-9ASNBA3,paulch01,20.8,0.581,0.27,0.274,1.1,12.8,7.1,44.5,2.7,0.8,15.6,19.7,5.8,3.6,9.4,0.21,3.1,2.3,5.4,4.0,16.3,0.033,0.148,0.344,0.192,0.559,0.75,0.569,0.597,0.482,0.317,0.097,0.413,0.0,0,0.08,3,0
68,Jalen Green,19,HOU,SG,67,67,2138,6.8,16.1,0.426,2.6,7.7,0.343,4.2,8.4,0.502,0.508,3.2,4.0,0.797,0.6,3.2,3.8,3.0,0.7,0.3,2.3,1.7,19.5,ROY-4,greenja05,12.5,0.547,0.48,0.247,1.7,10.0,5.8,13.1,1.0,0.8,11.3,23.7,0.5,0.2,0.7,0.015,-0.5,-2.4,-2.9,-0.5,15.7,0.271,0.129,0.031,0.088,0.502,0.68,0.252,0.333,0.381,0.343,0.438,0.662,0.087,69,0.146,1,0
